"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"Coquimbo",0.837462158601047,0.162537841398953,0.0184121815064572,0.0184121815064572
"Coronel",0.753506162993304,0.246493837006696,0.0277220927673685,0.0277220927673685
"Curico",0.858421953957904,0.141578046042096,0.0129325072525249,0.0129325072525249
"Donihue",0.539733841946747,0.460266158053253,0.0296542759214608,0.0296542759214608
"El Bosque",0.86736236410223,0.13263763589777,0.0250243816818165,0.0250243816818165
"Estacion Central",0.802685275556264,0.197314724443736,0.028679593181489,0.028679593181489
"Graneros",0.902009450940298,0.0979905490597015,0.022128705108564,0.022128705108564
"Hualpen",0.742721119168032,0.257278880831968,0.0257627717717236,0.0257627717717236
"Huechuraba",0.900854839396638,0.0991451606033625,0.023801329423855,0.023801329423855
"Illapel",0.893122068008381,0.106877931991619,0.0158908050690943,0.0158908050690943
"Independencia",0.801316225458711,0.198683774541289,0.0348395569359757,0.0348395569359757
"Iquique",0.777416696627359,0.222583303372641,0.0211573364531394,0.0211573364531394
"La Cisterna",0.834561293097804,0.165438706902196,0.0295390574811805,0.0295390574811805
"La Florida",0.860021636493494,0.139978363506506,0.0169313137962504,0.0169313137962504
"La Granja",0.880615082304137,0.119384917695863,0.0204091905283386,0.0204091905283386
"La Ligua",0.710678195859363,0.289321804140637,0.0207127897271819,0.0207127897271819
"La Pintana",0.887978310095447,0.112021689904553,0.0210506480731744,0.0210506480731744
"La Reina",0.773103895610055,0.226896104389945,0.0248249779251114,0.0248249779251114
"La Serena",0.681494384561001,0.318505615439,0.0229080288475847,0.0229080288475847
"La Union",0.739004729850761,0.260995270149238,0.0264651308589701,0.0264651308589701
"Lampa",0.863428739109913,0.136571260890087,0.0190826288038946,0.0190826288038946
"Las Condes",0.700483623646103,0.299516376353897,0.0238813814152263,0.0238813814152263
"Lautaro",0.73003259684953,0.26996740315047,0.0374127007058963,0.0374127007058963
"Lebu",0.816246707507786,0.183753292492214,0.0169734006281409,0.0169734006281409
"Limache",0.817980335655712,0.182019664344289,0.0202367963379366,0.0202367963379366
"Linares",0.823694992149897,0.176305007850103,0.017858902721178,0.017858902721178
"Lo Barnechea",0.750028295650409,0.249971704349591,0.0305805491830294,0.0305805491830294
"Lo Espejo",0.918876226104054,0.0811237738959464,0.014300545335465,0.014300545335465
"Lo Prado",0.848068225215164,0.151931774784836,0.0302211943418637,0.0302211943418637
"Loncoche",0.869456953145576,0.130543046854424,0.019799278551656,0.019799278551656
"Los Andes",0.847212578691038,0.152787421308962,0.0199653873603349,0.0199653873603349
"Los Angeles",0.8409629672155,0.1590370327845,0.0303678544895794,0.0303678544895794
"Los Vilos",0.819413609261738,0.180586390738262,0.0238239777105711,0.0238239777105711
"Lota",0.807460396325429,0.192539603674571,0.0253176059272629,0.0253176059272629
"Machali",0.797225714220813,0.202774285779187,0.0240074262733135,0.0240074262733135
"Macul",0.869724735976978,0.130275264023022,0.0174604795863894,0.0174604795863894
"Maipu",0.881001632798192,0.118998367201808,0.0158110061765607,0.0158110061765607
"Maule",0.806763074169891,0.193236925830109,0.0243423386465696,0.0243423386465696
"Melipilla",0.852257019152076,0.147742980847924,0.021744919482445,0.021744919482445
"Molina",0.820737254946935,0.179262745053065,0.0248660136058897,0.0248660136058897
"Mostazal",0.764599782567812,0.235400217432188,0.0340196535543478,0.0340196535543478
"Natales",0.677143779499101,0.322856220500899,0.0282822584196871,0.0282822584196871
"Nueva Imperial",0.890502924846756,0.109497075153244,0.0272310539032894,0.0272310539032894
"Nunoa",0.7575112671833,0.2424887328167,0.0219241189263495,0.0219241189263495
"Osorno",0.785268243468446,0.214731756531554,0.0228871784201696,0.0228871784201696
