"comuna","confia_muchobastante_carabinerosFALSE","confia_muchobastante_carabinerosTRUE","se.confia_muchobastante_carabinerosFALSE","se.confia_muchobastante_carabinerosTRUE"
"Colina",0.873729136384427,0.126270863615573,0.025463899728533,0.025463899728533
"Collipulli",0.795921752627925,0.204078247372075,0.0346718029409629,0.0346718029409629
"Concepcion",0.73144249542861,0.26855750457139,0.0171077006245652,0.0171077006245652
"Conchali",0.879941604584693,0.120058395415307,0.0153821014831923,0.0153821014831923
"Concon",0.81448307406592,0.18551692593408,0.0240022521427608,0.0240022521427608
"Constitucion",0.760204142498045,0.239795857501955,0.0239626073808778,0.0239626073808778
"Copiapo",0.793473535612512,0.206526464387488,0.0218531313875094,0.0218531313875094
"Coquimbo",0.767371029032878,0.232628970967122,0.0204854037293182,0.0204854037293182
"Coronel",0.735397925605738,0.264602074394262,0.0227622105692756,0.0227622105692756
"Curico",0.805852635862458,0.194147364137542,0.0158263541636566,0.0158263541636566
"Donihue",0.671872640253653,0.328127359746347,0.0354566510507362,0.0354566510507362
"El Bosque",0.855946368851881,0.144053631148118,0.0241302137120161,0.0241302137120161
"Estacion Central",0.813874612347302,0.186125387652698,0.0232014191893707,0.0232014191893708
"Graneros",0.87784061481947,0.12215938518053,0.0271179990686747,0.0271179990686747
"Hualpen",0.768013016961538,0.231986983038462,0.0263839614844655,0.0263839614844655
"Huechuraba",0.887739013922258,0.112260986077742,0.0294908964467238,0.0294908964467238
"Illapel",0.746573769456397,0.253426230543603,0.0275668611122815,0.0275668611122815
"Independencia",0.769455537464412,0.230544462535588,0.0395754628464299,0.0395754628464299
"Iquique",0.764118311647679,0.235881688352322,0.0192271437632606,0.0192271437632606
"La Cisterna",0.864081466504606,0.135918533495394,0.026472888559103,0.026472888559103
"La Florida",0.841439763560666,0.158560236439334,0.0183412081246447,0.0183412081246447
"La Granja",0.863406638771054,0.136593361228946,0.01875898748372,0.01875898748372
"La Ligua",0.722174720446805,0.277825279553195,0.0308653643909016,0.0308653643909016
"La Pintana",0.921371419122193,0.078628580877807,0.0193512576838864,0.0193512576838864
"La Reina",0.717459780039917,0.282540219960083,0.0276383162333175,0.0276383162333175
"La Serena",0.730937753652079,0.269062246347921,0.0196865321096861,0.0196865321096861
"La Union",0.710944029778589,0.289055970221411,0.0241210130853883,0.0241210130853883
"Lampa",0.875046647343034,0.124953352656966,0.0169018998878989,0.0169018998878989
"Las Condes",0.678418167616281,0.321581832383719,0.0257791250402644,0.0257791250402644
"Lautaro",0.694454833822114,0.305545166177886,0.0341305876618268,0.0341305876618268
"Lebu",0.772595603606984,0.227404396393016,0.0263120010711744,0.0263120010711744
"Limache",0.751298111567054,0.248701888432946,0.0256392122815094,0.0256392122815094
"Linares",0.81922273956835,0.18077726043165,0.0167232334853554,0.0167232334853554
"Lo Barnechea",0.754250435995121,0.245749564004879,0.033021090127952,0.033021090127952
"Lo Espejo",0.868774117204113,0.131225882795887,0.0226591825938469,0.0226591825938469
"Lo Prado",0.823232270118125,0.176767729881875,0.0289808721819233,0.0289808721819233
"Loncoche",0.778995535645659,0.221004464354341,0.0334520721518903,0.0334520721518903
"Los Andes",0.777526341857833,0.222473658142167,0.0226715808199937,0.0226715808199937
"Los Angeles",0.763456405637891,0.236543594362109,0.0202083803474857,0.0202083803474857
"Los Vilos",0.756132360817726,0.243867639182274,0.0278941319754578,0.0278941319754578
"Lota",0.820609807702659,0.179390192297341,0.0222524845145525,0.0222524845145525
"Machali",0.799449108010744,0.200550891989256,0.0223334744268985,0.0223334744268985
"Macul",0.819084785913592,0.180915214086408,0.0234406922497015,0.0234406922497015
"Maipu",0.874145978299566,0.125854021700434,0.0170385485170634,0.0170385485170634
"Maule",0.777636597394281,0.222363402605719,0.0285434435733544,0.0285434435733544
"Melipilla",0.820763930676756,0.179236069323244,0.0236940587256898,0.0236940587256897
"Molina",0.772444922196984,0.227555077803016,0.0339641084076352,0.0339641084076352
"Mostazal",0.708736641603979,0.291263358396021,0.0486628360529256,0.0486628360529256
"Natales",0.699592533106815,0.300407466893185,0.0236412425361062,0.0236412425361062
"Nueva Imperial",0.753070547509884,0.246929452490116,0.0521184192552322,0.0521184192552322
"Nunoa",0.725480397012272,0.274519602987728,0.0246294376150917,0.0246294376150917
"Osorno",0.762472164408617,0.237527835591383,0.0204634327690964,0.0204634327690964
"Ovalle",0.84043725681341,0.15956274318659,0.0196895465993268,0.0196895465993268
"Padre Hurtado",0.927484523708512,0.072515476291488,0.0143888088097265,0.0143888088097265
"Padre Las Casas",0.774259810007801,0.225740189992198,0.024646646716295,0.024646646716295
"Paillaco",0.776668802889829,0.223331197110171,0.0285133322358841,0.0285133322358841
"Paine",0.785832983093373,0.214167016906627,0.026282587219107,0.026282587219107
"Panguipulli",0.686854716925835,0.313145283074165,0.0427445659701399,0.0427445659701399
"Parral",0.810569402940685,0.189430597059315,0.0277120598037428,0.0277120598037428
"Pedro Aguirre Cerda",0.821791507522562,0.178208492477438,0.0246966538170093,0.0246966538170093
"Penaflor",0.808542555913353,0.191457444086647,0.0253006752807058,0.0253006752807058
"Penalolen",0.767068467869869,0.232931532130131,0.0302499745901751,0.0302499745901751
"Penco",0.742838405765067,0.257161594234933,0.0212395757971462,0.0212395757971462
"Pichilemu",0.834373725385161,0.165626274614839,0.0311928604443226,0.0311928604443226
"Pitrufquen",0.704033941680623,0.295966058319377,0.0348956354121557,0.0348956354121557
"Pozo Almonte",0.804336925916783,0.195663074083217,0.0361844305614097,0.0361844305614097
"Providencia",0.689699708095909,0.310300291904091,0.0243061534093552,0.0243061534093552
"Pucon",0.851602381054616,0.148397618945384,0.0322159113123043,0.0322159113123043
"Pudahuel",0.821677013236009,0.178322986763991,0.0291914636238709,0.0291914636238709
