"comuna","si_presencia_peleas_con_armas_en_barrioFALSE","si_presencia_peleas_con_armas_en_barrioTRUE","se.si_presencia_peleas_con_armas_en_barrioFALSE","se.si_presencia_peleas_con_armas_en_barrioTRUE"
"Donihue",0.893372409405393,0.106627590594607,0.037343516329572,0.037343516329572
"El Bosque",0.701462425821811,0.298537574178189,0.0425827301467447,0.0425827301467447
"Estacion Central",0.652285532536052,0.347714467463948,0.0369903572908377,0.0369903572908377
"Graneros",0.748776307582059,0.251223692417941,0.0550943265809618,0.0550943265809618
"Hualpen",0.84226966271146,0.15773033728854,0.0270644131884398,0.0270644131884398
"Huechuraba",0.805832310632721,0.194167689367279,0.0462812019719003,0.0462812019719003
"Illapel",0.873894703860883,0.126105296139117,0.021354325730697,0.021354325730697
"Independencia",0.658855877711245,0.341144122288755,0.0484937316398386,0.0484937316398386
"Iquique",0.781373573636063,0.218626426363937,0.0190512595666138,0.0190512595666138
"La Cisterna",0.814331048424236,0.185668951575764,0.0299657566277169,0.0299657566277169
"La Florida",0.818741765079924,0.181258234920076,0.0245847424724211,0.0245847424724211
"La Granja",0.608419885300617,0.391580114699383,0.0311446103877261,0.0311446103877261
"La Ligua",0.891486413630568,0.108513586369432,0.0203945159909086,0.0203945159909086
"La Pintana",0.535252438885642,0.464747561114358,0.0472402827895362,0.0472402827895362
"La Reina",0.899626011184572,0.100373988815428,0.0255234384744131,0.0255234384744131
"La Serena",0.893333776177561,0.10666622382244,0.0167116999348704,0.0167116999348704
"La Union",0.895806344624528,0.104193655375472,0.021545299276352,0.0215452992763519
"Lampa",0.791166542698826,0.208833457301174,0.0256711901576342,0.0256711901576342
"Las Condes",0.965834218921288,0.0341657810787119,0.00947483243317988,0.00947483243317988
"Lautaro",0.894382615364785,0.105617384635215,0.026807106693761,0.026807106693761
"Lebu",0.852485723848214,0.147514276151786,0.029724953149301,0.029724953149301
"Limache",0.870798768378784,0.129201231621216,0.024909407569295,0.024909407569295
"Linares",0.894733926749448,0.105266073250552,0.017755988328261,0.017755988328261
"Lo Barnechea",0.927978226315241,0.0720217736847587,0.0240917024922245,0.0240917024922245
"Lo Espejo",0.654458354389491,0.345541645610509,0.0312429530036984,0.0312429530036984
"Lo Prado",0.664371725654456,0.335628274345544,0.0407347131574978,0.0407347131574978
"Loncoche",0.922545651905609,0.0774543480943909,0.0216311768977383,0.0216311768977383
"Los Andes",0.843388553522915,0.156611446477085,0.0275021006825005,0.0275021006825005
"Los Angeles",0.835269187013329,0.164730812986672,0.0232221232813814,0.0232221232813814
"Los Vilos",0.850372142138942,0.149627857861058,0.0390656720119419,0.0390656720119419
"Lota",0.79829493862663,0.20170506137337,0.024432261551359,0.024432261551359
"Machali",0.901331845025145,0.0986681549748553,0.0240684084623516,0.0240684084623516
"Macul",0.801765662217239,0.198234337782761,0.0228565728383204,0.0228565728383204
"Maipu",0.832860909475558,0.167139090524442,0.0211132361523965,0.0211132361523965
"Maule",0.887556646988266,0.112443353011734,0.0228493263328936,0.0228493263328936
"Melipilla",0.726273409788812,0.273726590211188,0.0428841285751078,0.0428841285751078
"Molina",0.851948479427474,0.148051520572526,0.0274240471735579,0.0274240471735579
"Mostazal",0.795411140914699,0.204588859085301,0.0402772775671089,0.0402772775671089
"Natales",0.979958109233599,0.0200418907664007,0.00683587427849156,0.00683587427849156
"Nueva Imperial",0.855788595284866,0.144211404715134,0.0312803544088591,0.0312803544088591
"Nunoa",0.894369739497092,0.105630260502908,0.0198462038826266,0.0198462038826266
"Osorno",0.908292488251931,0.0917075117480688,0.018712152306348,0.018712152306348
"Ovalle",0.80815829157714,0.19184170842286,0.0254648984148068,0.0254648984148068
"Padre Hurtado",0.804251227496733,0.195748772503267,0.0293035432392903,0.0293035432392903
"Padre Las Casas",0.867514807685257,0.132485192314743,0.026119065512827,0.026119065512827
"Paillaco",0.85857613448042,0.14142386551958,0.0277834948958695,0.0277834948958695
"Paine",0.834315878278012,0.165684121721988,0.0288408438606651,0.0288408438606651
"Panguipulli",0.925368842969301,0.0746311570306994,0.0305217458721219,0.0305217458721219
"Parral",0.849305027496268,0.150694972503733,0.0548566639387727,0.0548566639387727
"Pedro Aguirre Cerda",0.741381736768784,0.258618263231216,0.0310052294182005,0.0310052294182005
"Penaflor",0.738681599929284,0.261318400070716,0.031023589649874,0.031023589649874
"Penalolen",0.723278290368733,0.276721709631267,0.0337045971763236,0.0337045971763236
"Penco",0.831289652501564,0.168710347498436,0.0229362837096112,0.0229362837096112
"Pichilemu",0.906314331039345,0.0936856689606554,0.0217672661524183,0.0217672661524183
"Pitrufquen",0.821718495171887,0.178281504828113,0.0279597766789892,0.0279597766789892
"Pozo Almonte",0.777882273956179,0.222117726043821,0.0347110206322567,0.0347110206322566
"Providencia",0.961625021815684,0.0383749781843164,0.00817821494384328,0.00817821494384328
"Pucon",0.921092272792111,0.078907727207889,0.0275603076207164,0.0275603076207164
"Pudahuel",0.745250703547815,0.254749296452185,0.0333831179545817,0.0333831179545817
"Puente Alto",0.799159609708853,0.200840390291147,0.0206279867135108,0.0206279867135108
"Puerto Montt",0.853744038588666,0.146255961411334,0.0214372185946056,0.0214372185946056
"Puerto Varas",0.907585027061624,0.0924149729383756,0.0330974377818705,0.0330974377818705
"Punta Arenas",0.955087323306405,0.044912676693595,0.00789304537494628,0.00789304537494628
"Quellon",0.880080707698095,0.119919292301905,0.0280739321512184,0.0280739321512184
"Quilicura",0.762342534793453,0.237657465206547,0.0281866341714673,0.0281866341714673
"Quillon",0.894081294938555,0.105918705061445,0.0257473523091559,0.0257473523091559
"Quillota",0.827669539982979,0.172330460017021,0.0304291216723657,0.0304291216723657
"Quilpue",0.875296374877222,0.124703625122778,0.0171834059177847,0.0171834059177847
"Quinta Normal",0.70339533552719,0.29660466447281,0.0267185865692555,0.0267185865692555
"Quirihue",0.938392270312424,0.0616077296875762,0.0178677506915034,0.0178677506915034
"Rancagua",0.864594072440379,0.135405927559621,0.0186917134833563,0.0186917134833563
"Recoleta",0.611560773114088,0.388439226885912,0.0289648410043311,0.0289648410043311
"Renca",0.751479052195355,0.248520947804645,0.0313326549461407,0.0313326549461407
"Rengo",0.858618720878206,0.141381279121794,0.0226856946423628,0.0226856946423628
"Rio Bueno",0.932614821530519,0.0673851784694811,0.0158794785120383,0.0158794785120383
"San Antonio",0.81441028997529,0.18558971002471,0.0310683762675629,0.0310683762675629
"San Bernardo",0.639757985690302,0.360242014309698,0.0367789651724309,0.0367789651724309
"San Carlos",0.909922435162361,0.0900775648376392,0.0174390793840466,0.0174390793840466
"San Felipe",0.875309846407991,0.124690153592009,0.01955816379849,0.01955816379849
"San Fernando",0.845525633667104,0.154474366332896,0.0276172172487475,0.0276172172487475
"San Javier",0.85609660826222,0.14390339173778,0.0268197240205896,0.0268197240205896
"San Joaquin",0.737701171252882,0.262298828747118,0.0388287905395358,0.0388287905395358
"San Miguel",0.851717536424085,0.148282463575915,0.017286063307279,0.017286063307279
"San Pedro de la Paz",0.806654231372505,0.193345768627495,0.0265636591342667,0.0265636591342667
"San Ramon",0.704832201134083,0.295167798865917,0.0332627839290017,0.0332627839290017
"San Vicente",0.882588724796977,0.117411275203023,0.0356260707522159,0.0356260707522159
"Santa Cruz",0.896186238503486,0.103813761496514,0.0300764674033333,0.0300764674033333
"Santiago",0.6375620151906,0.3624379848094,0.0179789653671283,0.0179789653671283
"Talagante",0.781708851939085,0.218291148060915,0.0295612618648987,0.0295612618648987
"Talca",0.846912586921992,0.153087413078008,0.0170779933107013,0.0170779933107013
"Talcahuano",0.708705440539894,0.291294559460106,0.0404857572760041,0.0404857572760041
"Temuco",0.889925767712057,0.110074232287943,0.0140367190744534,0.0140367190744534
"Tocopilla",0.855836459902703,0.144163540097297,0.029092592347638,0.029092592347638
"Tome",0.860719762106866,0.139280237893134,0.020772516696267,0.020772516696267
"Valdivia",0.84110765991802,0.15889234008198,0.018933004142654,0.018933004142654
"Vallenar",0.761772494587998,0.238227505412002,0.0295826216450171,0.0295826216450171
"Valparaiso",0.780867468661443,0.219132531338558,0.0181903172383498,0.0181903172383498
"Victoria",0.924660854981223,0.0753391450187775,0.0269612788403375,0.0269612788403375
"Vilcun",0.845657213665097,0.154342786334903,0.0489106139720498,0.0489106139720499
"Villa Alemana",0.873976532956189,0.126023467043811,0.0150681494713771,0.0150681494713771
"Villarrica",0.781877565626183,0.218122434373817,0.0400491919539184,0.0400491919539184
"Vina del Mar",0.815259828193852,0.184740171806148,0.0161049866308827,0.0161049866308827
"Vitacura",0.949817504223869,0.0501824957761311,0.0144698314828587,0.0144698314828587
"Yungay",0.935840789154581,0.0641592108454191,0.0221304095766653,0.0221304095766653
