"comuna","si_presencia_violencia_entre_vecinosFALSE","si_presencia_violencia_entre_vecinosTRUE","se.si_presencia_violencia_entre_vecinosFALSE","se.si_presencia_violencia_entre_vecinosTRUE"
"Maipu",0.822746858548949,0.177253141451051,0.0198386753267617,0.0198386753267617
"Maule",0.863731169304878,0.136268830695122,0.0230337740604399,0.0230337740604399
"Melipilla",0.798121353701536,0.201878646298464,0.0330266114017219,0.0330266114017219
"Molina",0.901835057115795,0.0981649428842046,0.0190189655499843,0.0190189655499843
"Mostazal",0.785853385305684,0.214146614694316,0.0405219827226392,0.0405219827226392
"Natales",0.977608963573012,0.0223910364269878,0.00879780265784812,0.00879780265784812
"Nueva Imperial",0.850272889752198,0.149727110247802,0.0374308307719003,0.0374308307719003
"Nunoa",0.89397048425692,0.10602951574308,0.0180228437957036,0.0180228437957036
"Osorno",0.875694419782451,0.124305580217549,0.0204442035532211,0.0204442035532211
"Ovalle",0.791937805941139,0.208062194058861,0.0286591550699392,0.0286591550699392
"Padre Hurtado",0.741135485101153,0.258864514898847,0.0351919954908579,0.0351919954908579
"Padre Las Casas",0.851390467063407,0.148609532936593,0.0265981449466316,0.0265981449466316
"Paillaco",0.840503358805121,0.159496641194879,0.0349995808380443,0.0349995808380443
"Paine",0.798928207101786,0.201071792898214,0.0301981003822033,0.0301981003822033
"Panguipulli",0.977387311852925,0.0226126881470748,0.0115294269675521,0.0115294269675521
"Parral",0.870684231523674,0.129315768476326,0.0397045497935538,0.0397045497935538
"Pedro Aguirre Cerda",0.716896534316927,0.283103465683073,0.0311817941749054,0.0311817941749054
"Penaflor",0.760366105366651,0.239633894633349,0.0343573259655349,0.0343573259655349
"Penalolen",0.762158116397746,0.237841883602254,0.0327238045636897,0.0327238045636897
"Penco",0.812481315578275,0.187518684421725,0.0236879426753975,0.0236879426753975
"Pichilemu",0.878322531335338,0.121677468664663,0.030867144388264,0.030867144388264
"Pitrufquen",0.803468039695952,0.196531960304048,0.0346246565578291,0.0346246565578291
"Pozo Almonte",0.771038762158807,0.228961237841193,0.0498075157866018,0.0498075157866018
"Providencia",0.946998932229944,0.0530010677700555,0.0128035341029978,0.0128035341029978
"Pucon",0.939994421539764,0.0600055784602358,0.0259947180319248,0.0259947180319248
"Pudahuel",0.757718522505883,0.242281477494117,0.0351606079947389,0.0351606079947389
"Puente Alto",0.822149595505245,0.177850404494755,0.0180062699191996,0.0180062699191996
"Puerto Montt",0.830278684694661,0.169721315305339,0.0210187906122103,0.0210187906122103
"Puerto Varas",0.837404622701234,0.162595377298766,0.0387210234354052,0.0387210234354052
"Punta Arenas",0.963797540349705,0.0362024596502952,0.00663984083930343,0.00663984083930343
"Quellon",0.857549988691259,0.142450011308741,0.0301679985417157,0.0301679985417157
"Quilicura",0.752522438849774,0.247477561150226,0.0338385223782809,0.0338385223782809
"Quillon",0.86729165423135,0.13270834576865,0.0388134207933382,0.0388134207933382
"Quillota",0.815293217799615,0.184706782200384,0.0288252161649798,0.0288252161649798
"Quilpue",0.839831270934472,0.160168729065528,0.0186440238714705,0.0186440238714705
"Quinta Normal",0.733756078948398,0.266243921051602,0.0255122043336221,0.0255122043336221
"Quirihue",0.884383191871616,0.115616808128384,0.0327105499453916,0.0327105499453916
"Rancagua",0.866502707060641,0.133497292939358,0.0157888051590439,0.0157888051590439
"Recoleta",0.721772721310079,0.278227278689921,0.0270942350920719,0.0270942350920719
"Renca",0.771015967255757,0.228984032744243,0.0319422151633131,0.0319422151633131
"Rengo",0.884221404160124,0.115778595839876,0.0236412009947959,0.0236412009947959
"Rio Bueno",0.888881862298314,0.111118137701686,0.0219673312528941,0.0219673312528941
"San Antonio",0.881481500534968,0.118518499465032,0.0236267845214852,0.0236267845214852
"San Bernardo",0.658388353649032,0.341611646350968,0.0359076613292291,0.0359076613292291
"San Carlos",0.892520884543905,0.107479115456095,0.0205012983839219,0.0205012983839219
"San Felipe",0.871716118867564,0.128283881132436,0.0174137066283761,0.0174137066283761
"San Fernando",0.858996363000307,0.141003636999693,0.0260333292526147,0.0260333292526147
"San Javier",0.835935543061419,0.164064456938581,0.0308838192532623,0.0308838192532623
"San Joaquin",0.694674945514524,0.305325054485476,0.0433309451433447,0.0433309451433447
"San Miguel",0.823686783099023,0.176313216900977,0.0221237764931445,0.0221237764931445
"San Pedro de la Paz",0.808799329626724,0.191200670373276,0.0271316972106064,0.0271316972106064
"San Ramon",0.722516573100415,0.277483426899585,0.02798944577746,0.02798944577746
"San Vicente",0.936205513139968,0.063794486860032,0.0154942387675338,0.0154942387675338
"Santa Cruz",0.90991304432423,0.0900869556757704,0.026155571742185,0.026155571742185
"Santiago",0.632733990827823,0.367266009172177,0.0177474955652765,0.0177474955652765
"Talagante",0.795235394411082,0.204764605588918,0.0279054750611262,0.0279054750611262
"Talca",0.838381252107745,0.161618747892255,0.0201227391025148,0.0201227391025148
"Talcahuano",0.727036796431664,0.272963203568336,0.0350909254892404,0.0350909254892404
"Temuco",0.883471988709454,0.116528011290546,0.014263488253127,0.014263488253127
"Tocopilla",0.910234018678488,0.0897659813215121,0.0234756868518103,0.0234756868518103
"Tome",0.850370680055754,0.149629319944246,0.0200709079180057,0.0200709079180057
"Valdivia",0.840955450620437,0.159044549379563,0.0164851697588845,0.0164851697588845
"Vallenar",0.833979002349516,0.166020997650484,0.0234369025656089,0.0234369025656089
"Valparaiso",0.797182034288997,0.202817965711003,0.0185682388202205,0.0185682388202205
"Victoria",0.910010798725704,0.0899892012742961,0.0299494290953857,0.0299494290953857
"Vilcun",0.892987584281529,0.107012415718471,0.0369252135834576,0.0369252135834576
"Villa Alemana",0.880616676168694,0.119383323831306,0.0159919378246662,0.0159919378246662
"Villarrica",0.756321678829675,0.243678321170325,0.0366689110240409,0.0366689110240409
"Vina del Mar",0.819797780192533,0.180202219807467,0.0173777686566378,0.0173777686566378
"Vitacura",0.941995301361844,0.0580046986381561,0.0187023581784125,0.0187023581784125
"Yungay",0.916285464784249,0.0837145352157508,0.0369214232129893,0.0369214232129893
