"comuna","si_medidas_seguridad_whatsappFALSE","si_medidas_seguridad_whatsappTRUE","se.si_medidas_seguridad_whatsappFALSE","se.si_medidas_seguridad_whatsappTRUE"
"San Felipe",0.392811768730993,0.607188231269007,0.0331735792066905,0.0331735792066905
"San Fernando",0.514705676961086,0.485294323038914,0.0405170776206697,0.0405170776206697
"San Javier",0.572855906759444,0.427144093240556,0.0530014618958333,0.0530014618958333
"San Joaquin",0.402085653856562,0.597914346143438,0.0598754372400519,0.0598754372400519
"San Miguel",0.343468315153553,0.656531684846447,0.0306032561158122,0.0306032561158122
"San Pedro de la Paz",0.465174338292763,0.534825661707237,0.0393772561843418,0.0393772561843418
"San Ramon",0.56972213108646,0.43027786891354,0.0340993148754765,0.0340993148754765
"San Vicente",0.642234301391305,0.357765698608695,0.0409321239035856,0.0409321239035856
"Santa Cruz",0.508472707105955,0.491527292894045,0.0411183355851788,0.0411183355851788
"Santiago",0.480922247900201,0.519077752099799,0.0216309105390439,0.0216309105390439
"Talagante",0.43281856575902,0.56718143424098,0.0378602161288504,0.0378602161288504
"Talca",0.567947474063076,0.432052525936924,0.0251486014857563,0.0251486014857563
"Talcahuano",0.42286554393492,0.577134456065081,0.0329215510428781,0.0329215510428781
"Temuco",0.434435344306151,0.565564655693849,0.026227062591376,0.026227062591376
"Tocopilla",0.603905698998379,0.396094301001621,0.0495014431000885,0.0495014431000885
"Tome",0.583035240262628,0.416964759737372,0.0306661725563009,0.0306661725563009
"Valdivia",0.546369995038577,0.453630004961423,0.0314337680675041,0.0314337680675041
"Vallenar",0.61533509465557,0.38466490534443,0.0438974852296914,0.0438974852296914
"Valparaiso",0.437076661190037,0.562923338809963,0.0253029618712247,0.0253029618712247
"Victoria",0.705530276794834,0.294469723205166,0.0391419964254487,0.0391419964254487
"Vilcun",0.653937870692291,0.346062129307709,0.0613548119861626,0.0613548119861626
"Villa Alemana",0.315710114006401,0.684289885993599,0.0248514620053265,0.0248514620053265
"Villarrica",0.688249977255173,0.311750022744827,0.0443128633937419,0.0443128633937419
"Vina del Mar",0.467617886362037,0.532382113637963,0.0243786972788022,0.0243786972788022
"Vitacura",0.415085296080508,0.584914703919492,0.0478009337901539,0.0478009337901539
"Yungay",0.667819691252412,0.332180308747588,0.0440203969272858,0.0440203969272859
