"comuna","si_arma_en_casaFALSE","si_arma_en_casaTRUE","se.si_arma_en_casaFALSE","se.si_arma_en_casaTRUE"
"Paillaco",0.946224591045615,0.0537754089543851,0.022567405815073,0.022567405815073
"Paine",0.981973386460756,0.0180266135392439,0.00867027882716453,0.00867027882716453
"Panguipulli",0.963196709717741,0.0368032902822587,0.0121597405760284,0.0121597405760284
"Parral",0.95882023190172,0.04117976809828,0.00905021266039303,0.00905021266039303
"Pedro Aguirre Cerda",0.976541522966236,0.0234584770337635,0.0109330527032965,0.0109330527032965
"Penaflor",0.972447190256631,0.0275528097433688,0.00813521318085786,0.00813521318085786
"Penalolen",0.969757566334981,0.030242433665019,0.00906803831075531,0.00906803831075531
"Penco",0.948407964362484,0.0515920356375158,0.00872822966641077,0.00872822966641076
"Pichilemu",0.917865391426829,0.0821346085731708,0.0205374477766974,0.0205374477766974
"Pitrufquen",0.977443654822767,0.0225563451772329,0.0111593588922956,0.0111593588922956
"Pozo Almonte",0.989669374015973,0.010330625984027,0.00711126519636379,0.0071112651963638
"Providencia",0.966759240740826,0.0332407592591739,0.00796263471008584,0.00796263471008584
"Pucon",0.914370687279194,0.0856293127208058,0.0388923314613778,0.0388923314613778
"Pudahuel",0.97136603194932,0.0286339680506798,0.0101379064867758,0.0101379064867758
"Puente Alto",0.979994114939078,0.0200058850609219,0.00685064349544651,0.00685064349544651
"Puerto Montt",0.961785183038854,0.038214816961146,0.0089916072153015,0.0089916072153015
"Puerto Varas",0.957028025477948,0.0429719745220515,0.014213456986895,0.014213456986895
"Punta Arenas",0.955715481625627,0.0442845183743726,0.0087602144010748,0.0087602144010748
"Quellon",0.989579662344854,0.0104203376551456,0.00757349926623609,0.00757349926623609
"Quilicura",0.9808777546355,0.0191222453644999,0.00784635497512541,0.00784635497512541
"Quillon",0.964445081467507,0.0355549185324927,0.0161268548306682,0.0161268548306682
"Quillota",0.954922637103526,0.0450773628964735,0.0104452036279802,0.0104452036279802
"Quilpue",0.972155045759645,0.0278449542403551,0.00566649386524583,0.00566649386524583
"Quinta Normal",0.983930999574158,0.0160690004258419,0.00553593926620297,0.00553593926620297
"Quirihue",0.957314624703333,0.0426853752966673,0.0160775426211918,0.0160775426211918
"Rancagua",0.971365099784952,0.0286349002150483,0.00816955837244507,0.00816955837244507
"Recoleta",0.974481662149913,0.025518337850087,0.00747215982025279,0.00747215982025279
"Renca",0.976605458461678,0.0233945415383216,0.0084721445304924,0.00847214453049241
"Rengo",0.965917165246689,0.0340828347533113,0.0100620991154391,0.0100620991154391
"Rio Bueno",0.985075632175764,0.0149243678242362,0.00712739689372175,0.00712739689372175
"San Antonio",0.968661701417667,0.0313382985823326,0.0113944543472001,0.0113944543472001
"San Bernardo",0.967735335336143,0.032264664663857,0.00908392328935202,0.00908392328935202
"San Carlos",0.966369092963343,0.0336309070366572,0.0113176101115531,0.0113176101115531
"San Felipe",0.971689794800404,0.0283102051995961,0.0074192905992979,0.0074192905992979
"San Fernando",0.956894701237226,0.043105298762774,0.0109425829619528,0.0109425829619528
"San Javier",0.961829719252954,0.0381702807470461,0.0111001175627701,0.0111001175627701
"San Joaquin",0.976068598203436,0.0239314017965641,0.0112019545039057,0.0112019545039057
"San Miguel",0.981931322598354,0.018068677401646,0.00658864256443929,0.00658864256443929
"San Pedro de la Paz",0.947788270609452,0.0522117293905483,0.00983325966613609,0.00983325966613609
"San Ramon",0.961281315611707,0.0387186843882932,0.0100424224918957,0.0100424224918957
"San Vicente",0.970883715809118,0.0291162841908816,0.00982504815891355,0.00982504815891355
"Santa Cruz",0.945604783469047,0.0543952165309531,0.0159272396392859,0.0159272396392859
"Santiago",0.984342544984076,0.0156574550159237,0.00384370434628452,0.00384370434628452
"Talagante",0.967625747530646,0.0323742524693543,0.0106021388231991,0.0106021388231991
"Talca",0.949009915230409,0.0509900847695906,0.00770450616380811,0.00770450616380811
"Talcahuano",0.963571859091328,0.0364281409086719,0.00892990578523766,0.00892990578523766
"Temuco",0.953720117829945,0.0462798821700548,0.00865713165897168,0.00865713165897168
"Tocopilla",1,0,0,0
"Tome",0.948145239983521,0.0518547600164786,0.0122921457129124,0.0122921457129124
"Valdivia",0.973457330396406,0.026542669603594,0.00664044460287498,0.00664044460287498
"Vallenar",0.988462199900752,0.0115378000992478,0.00658600848591204,0.00658600848591204
"Valparaiso",0.982565157307725,0.0174348426922749,0.00467495099475485,0.00467495099475485
"Victoria",0.919878183505816,0.080121816494184,0.0151784660754258,0.0151784660754258
"Vilcun",0.942267862271147,0.0577321377288527,0.0169985830363624,0.0169985830363624
"Villa Alemana",0.956889773606209,0.043110226393791,0.00768077885997974,0.00768077885997974
"Villarrica",0.966180437083695,0.0338195629163054,0.013982227421293,0.013982227421293
"Vina del Mar",0.958774108632082,0.0412258913679176,0.00657523906278293,0.00657523906278293
"Vitacura",0.944059937405074,0.0559400625949258,0.017387526122735,0.017387526122735
"Yungay",0.941232867066102,0.0587671329338977,0.0199954927929411,0.0199954927929411
