"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"La Florida",0.583991616398897,0.416008383601103,0.0374567992610402,0.0374567992610402
"La Granja",0.61506718937689,0.38493281062311,0.0347062524599347,0.0347062524599347
"La Ligua",0.845474249321149,0.154525750678851,0.029128553286087,0.029128553286087
"La Pintana",0.726960252756269,0.273039747243731,0.0358665003066523,0.0358665003066523
"La Reina",0.485581577992413,0.514418422007587,0.0414745805652434,0.0414745805652434
"La Serena",0.511413282785827,0.488586717214173,0.0388522992152123,0.0388522992152123
"La Union",0.865665023600425,0.134334976399575,0.0195397831793991,0.0195397831793991
"Lampa",0.624738779047886,0.375261220952114,0.0359697702906497,0.0359697702906497
"Las Condes",0.649383067627486,0.350616932372514,0.034367653522607,0.034367653522607
"Lautaro",0.226936796065522,0.773063203934478,0.0337630770594737,0.0337630770594737
"Lebu",0.69988596530209,0.30011403469791,0.0509946410323638,0.0509946410323638
"Limache",0.670396500848019,0.329603499151981,0.0388438399979418,0.0388438399979418
"Linares",0.735713420177257,0.264286579822743,0.0303930975018981,0.0303930975018981
"Lo Barnechea",0.598320253942437,0.401679746057563,0.0480560318204313,0.0480560318204313
"Lo Espejo",0.702793964944538,0.297206035055462,0.0398656019538166,0.0398656019538166
"Lo Prado",0.411418588553189,0.588581411446811,0.0463603379770381,0.0463603379770381
"Loncoche",0.624674679197693,0.375325320802307,0.0506990711162969,0.0506990711162969
"Los Andes",0.630059198355275,0.369940801644725,0.0403565920508356,0.0403565920508356
"Los Angeles",0.779902237545757,0.220097762454243,0.0292020487639451,0.0292020487639451
"Los Vilos",0.816548030756175,0.183451969243825,0.0283881190193246,0.0283881190193246
"Lota",0.695437654049924,0.304562345950076,0.0428436788067477,0.0428436788067477
"Machali",0.751660343950591,0.248339656049409,0.0248611208729829,0.0248611208729829
"Macul",0.639450575620963,0.360549424379037,0.0342013717070166,0.0342013717070166
"Maipu",0.398871020189753,0.601128979810247,0.0347225853406956,0.0347225853406956
"Maule",0.55991562325009,0.44008437674991,0.0592587908548241,0.0592587908548241
"Melipilla",0.715403619190896,0.284596380809104,0.0371596001408242,0.0371596001408242
"Molina",0.956174294039601,0.0438257059603987,0.0120155077066335,0.0120155077066335
"Mostazal",0.229454275520785,0.770545724479215,0.0556454673537563,0.0556454673537563
"Natales",0.877679450017965,0.122320549982035,0.0202793179696058,0.0202793179696058
"Nueva Imperial",0.38531343577891,0.61468656422109,0.0541129531210581,0.0541129531210581
"Nunoa",0.56885200812354,0.43114799187646,0.0403259484919627,0.0403259484919627
"Osorno",0.319516196585854,0.680483803414146,0.0333080758066273,0.0333080758066273
"Ovalle",0.475109415136084,0.524890584863916,0.0341751734454603,0.0341751734454603
"Padre Hurtado",0.241244880734133,0.758755119265867,0.0333310081237984,0.0333310081237984
"Padre Las Casas",0.477697914582602,0.522302085417398,0.0660029322242,0.0660029322242
"Paillaco",0.802169441947717,0.197830558052283,0.0366506986110423,0.0366506986110423
"Paine",0.707805681589177,0.292194318410823,0.0450024376556897,0.0450024376556897
"Panguipulli",0.967127911456189,0.0328720885438108,0.0165378011341742,0.0165378011341742
"Parral",0.873283435959782,0.126716564040218,0.024035348255713,0.024035348255713
"Pedro Aguirre Cerda",0.743413367902309,0.256586632097691,0.0330960600447097,0.0330960600447097
"Penaflor",0.458281037935814,0.541718962064186,0.0381083399071512,0.0381083399071512
"Penalolen",0.754032029009788,0.245967970990212,0.0300192430725072,0.0300192430725072
"Penco",0.818832474942504,0.181167525057496,0.0269465324923247,0.0269465324923247
"Pichilemu",0.919905132618579,0.080094867381421,0.0238547215658145,0.0238547215658145
"Pitrufquen",0.587033586768243,0.412966413231757,0.0412965320274568,0.0412965320274568
"Pozo Almonte",0.896962536214059,0.103037463785941,0.0287032740823525,0.0287032740823525
"Providencia",0.670355094201189,0.329644905798811,0.0298916041765255,0.0298916041765255
"Pucon",0.868559543685144,0.131440456314856,0.0408332221797146,0.0408332221797146
"Pudahuel",0.420035235390933,0.579964764609067,0.0371863271415331,0.0371863271415331
"Puente Alto",0.547887732361557,0.452112267638443,0.0325938265653599,0.0325938265653599
"Puerto Montt",0.74432470583375,0.25567529416625,0.0250014838048429,0.0250014838048429
"Puerto Varas",0.772214248483811,0.227785751516189,0.0379155005438551,0.0379155005438551
"Punta Arenas",0.690553783444973,0.309446216555027,0.0286816975119727,0.0286816975119727
"Quellon",0.91420854891506,0.0857914510849405,0.0266898816150384,0.0266898816150384
"Quilicura",0.277063032311137,0.722936967688863,0.0457590165531551,0.0457590165531551
"Quillon",0.640656398524038,0.359343601475962,0.0576697572592907,0.0576697572592907
"Quillota",0.655488256305715,0.344511743694285,0.0316491696028686,0.0316491696028686
"Quilpue",0.58624292118314,0.413757078816859,0.0289361942532394,0.0289361942532394
"Quinta Normal",0.693927406568489,0.306072593431511,0.0313182721395571,0.0313182721395571
"Quirihue",0.710172427905547,0.289827572094453,0.0479207774533555,0.0479207774533555
"Rancagua",0.708152204705041,0.291847795294959,0.0288247253250325,0.0288247253250325
"Recoleta",0.625747281888881,0.374252718111119,0.0289161650020702,0.0289161650020702
"Renca",0.595524377330304,0.404475622669696,0.0432401990781985,0.0432401990781985
"Rengo",0.766698235159512,0.233301764840488,0.0325554961134971,0.0325554961134971
"Rio Bueno",0.776741570454488,0.223258429545512,0.0246288050837315,0.0246288050837315
"San Antonio",0.603394783740303,0.396605216259697,0.0479431111270105,0.0479431111270105
"San Bernardo",0.631997034429098,0.368002965570902,0.0339848509413486,0.0339848509413486
"San Carlos",0.745545792374717,0.254454207625283,0.037969279020411,0.037969279020411
"San Felipe",0.609925920073246,0.390074079926754,0.0320245835979174,0.0320245835979174
"San Fernando",0.786371147940647,0.213628852059353,0.0313821554771065,0.0313821554771065
"San Javier",0.752669804582517,0.247330195417483,0.0489475695902246,0.0489475695902246
"San Joaquin",0.624175833862121,0.375824166137879,0.0565931844369321,0.0565931844369321
"San Miguel",0.782460518852498,0.217539481147502,0.0280908523192287,0.0280908523192287
"San Pedro de la Paz",0.674918992122651,0.325081007877349,0.032812671773121,0.032812671773121
"San Ramon",0.608998658610293,0.391001341389707,0.0389785956273669,0.0389785956273669
"San Vicente",0.742657587767553,0.257342412232447,0.0388438845269617,0.0388438845269617
