"comuna","acceso_controladoFALSE","acceso_controladoTRUE","se.acceso_controladoFALSE","se.acceso_controladoTRUE"
"Lebu",0.994751384945291,0.00524861505470943,0.00393148505435278,0.00393148505435278
"Limache",0.552240130825237,0.447759869174763,0.0606121133076393,0.0606121133076393
"Linares",0.959141532708762,0.0408584672912384,0.0149126483174714,0.0149126483174714
"Lo Barnechea",0.568740294397089,0.431259705602911,0.0673017153396178,0.0673017153396178
"Lo Espejo",0.972776327065805,0.0272236729341956,0.0141126784478053,0.0141126784478053
"Lo Prado",0.851728155651904,0.148271844348096,0.0438762575226378,0.0438762575226378
"Loncoche",0.997238285243727,0.00276171475627335,0.0027713311813144,0.0027713311813144
"Los Andes",0.913131902744035,0.0868680972559652,0.0285004580158273,0.0285004580158273
"Los Angeles",0.917438061525716,0.0825619384742841,0.0258277055343547,0.0258277055343547
"Los Vilos",0.966001572653921,0.0339984273460788,0.0148668126801563,0.0148668126801563
"Lota",0.954721454093147,0.045278545906853,0.0142111274056532,0.0142111274056532
"Machali",0.881595304260183,0.118404695739817,0.030578415017195,0.030578415017195
"Macul",0.647347939928219,0.352652060071781,0.0499106357769116,0.0499106357769116
"Maipu",0.873936832549791,0.126063167450209,0.0270314382943947,0.0270314382943947
"Maule",0.978872028887073,0.021127971112927,0.0122773923706505,0.0122773923706505
"Melipilla",0.964238000620334,0.0357619993796663,0.0124705257641623,0.0124705257641623
"Molina",0.986835569071252,0.0131644309287476,0.00681503499006258,0.00681503499006258
"Mostazal",0.96929979930315,0.0307002006968503,0.0133640172723485,0.0133640172723485
"Natales",0.979489336901318,0.020510663098682,0.00857132257586724,0.00857132257586724
"Nueva Imperial",0.692579987699343,0.307420012300657,0.102429469059297,0.102429469059297
"Nunoa",0.267298069984898,0.732701930015102,0.0428129802196381,0.0428129802196381
"Osorno",0.935230308443862,0.0647696915561385,0.0233746853058769,0.0233746853058769
"Ovalle",0.922715973280908,0.0772840267190919,0.0262927122874,0.0262927122874
"Padre Hurtado",0.977587123196359,0.0224128768036413,0.00910941411137645,0.00910941411137645
"Padre Las Casas",0.509758896639967,0.490241103360033,0.0746863098012116,0.0746863098012116
"Paillaco",0.970876701441548,0.0291232985584519,0.0107082113714231,0.0107082113714231
"Paine",0.955558419284099,0.0444415807159014,0.0157735804954901,0.0157735804954901
"Panguipulli",0.971187087567093,0.0288129124329074,0.0107277644570945,0.0107277644570945
"Parral",0.989704816949404,0.0102951830505964,0.0102516050844288,0.0102516050844288
"Pedro Aguirre Cerda",0.93734478313587,0.0626552168641303,0.0211660709174906,0.0211660709174906
"Penaflor",0.810919104950083,0.189080895049917,0.0338680849398763,0.0338680849398763
"Penalolen",0.804817872884297,0.195182127115704,0.0453519200725083,0.0453519200725083
"Penco",0.888747803879239,0.111252196120761,0.026196978647748,0.026196978647748
"Pichilemu",0.984169561737941,0.0158304382620589,0.00917211119583242,0.00917211119583242
"Pitrufquen",0.980257278022391,0.0197427219776086,0.0119131832751186,0.0119131832751186
"Pozo Almonte",1,0,0,0
"Providencia",0.169763081111477,0.830236918888523,0.0298518900942797,0.0298518900942797
"Pucon",0.937084879105618,0.0629151208943816,0.0370681230039058,0.0370681230039058
"Pudahuel",0.855777893688949,0.144222106311052,0.0363490948947378,0.0363490948947378
"Puente Alto",0.807948096145758,0.192051903854242,0.0319199009539269,0.0319199009539269
"Puerto Montt",0.923647594064514,0.0763524059354855,0.0197406606256152,0.0197406606256152
"Puerto Varas",0.968582978103381,0.0314170218966188,0.0143072190274479,0.0143072190274479
"Punta Arenas",0.960922946854823,0.0390770531451767,0.0086799717432852,0.00867997174328521
"Quellon",0.979300772444813,0.0206992275551867,0.0119064613256882,0.0119064613256882
"Quilicura",0.850071149636078,0.149928850363922,0.0410702992230482,0.0410702992230482
"Quillon",0.985138219061502,0.0148617809384977,0.0147382585977493,0.0147382585977493
"Quillota",0.9619987890641,0.0380012109358995,0.0171556245402646,0.0171556245402646
"Quilpue",0.0900030303264429,0.909996969673557,0.0214128106726824,0.0214128106726824
"Quinta Normal",0.684007592595718,0.315992407404282,0.0431405894177416,0.0431405894177416
"Quirihue",0.973603249537228,0.0263967504627719,0.0232751122943467,0.0232751122943467
"Rancagua",0.900628003669071,0.099371996330929,0.0213026940172833,0.0213026940172833
"Recoleta",0.793054257881169,0.206945742118831,0.0406611661373129,0.0406611661373129
"Renca",0.931404261976398,0.0685957380236021,0.0242534854536051,0.0242534854536051
"Rengo",0.978359969104196,0.0216400308958042,0.00892438078821138,0.00892438078821138
"Rio Bueno",0.995334300688643,0.00466569931135668,0.00458042216593814,0.00458042216593814
"San Antonio",0.679041083275239,0.320958916724761,0.0697775803937282,0.0697775803937282
"San Bernardo",0.831038033116896,0.168961966883104,0.0393926418509023,0.0393926418509023
"San Carlos",0.979103130344246,0.0208968696557544,0.00922716907122341,0.00922716907122342
"San Felipe",0.926431583980158,0.0735684160198419,0.0229650912986172,0.0229650912986172
"San Fernando",0.976156511355988,0.0238434886440117,0.00887212948293255,0.00887212948293255
"San Javier",0.987691096985767,0.0123089030142332,0.00623217539589609,0.00623217539589609
"San Joaquin",0.843695259853735,0.156304740146265,0.0493813655471608,0.0493813655471608
"San Miguel",0.291570199131581,0.708429800868419,0.0421375193859623,0.0421375193859623
"San Pedro de la Paz",0.761275725490594,0.238724274509406,0.0384093567424763,0.0384093567424763
