"comuna","si_medidas_seguridad_proteccionFALSE","si_medidas_seguridad_proteccionTRUE","se.si_medidas_seguridad_proteccionFALSE","se.si_medidas_seguridad_proteccionTRUE"
"Hualpen",0.647861182042052,0.352138817957948,0.0337390472631799,0.0337390472631799
"Huechuraba",0.462066047391248,0.537933952608752,0.0720943023619789,0.0720943023619789
"Illapel",0.566401267700583,0.433598732299417,0.0659664554762679,0.0659664554762679
"Independencia",0.756679808406966,0.243320191593034,0.0364831063741974,0.0364831063741974
"Iquique",0.762579255811611,0.237420744188389,0.0179897106725801,0.0179897106725801
"La Cisterna",0.799019807016634,0.200980192983366,0.0372727938637566,0.0372727938637566
"La Florida",0.605019082287881,0.394980917712119,0.0369074418441577,0.0369074418441577
"La Granja",0.61407577216686,0.38592422783314,0.0360442777265518,0.0360442777265518
"La Ligua",0.844957203407007,0.155042796592993,0.030600169854769,0.030600169854769
"La Pintana",0.717407420103085,0.282592579896915,0.0400946773251547,0.0400946773251547
"La Reina",0.509974513573573,0.490025486426427,0.0423865999335138,0.0423865999335138
"La Serena",0.514371094389146,0.485628905610854,0.0377428699979736,0.0377428699979736
"La Union",0.854000831503418,0.145999168496581,0.0187749393529772,0.0187749393529772
"Lampa",0.636706738501915,0.363293261498085,0.0347459150012155,0.0347459150012154
"Las Condes",0.667192100638116,0.332807899361884,0.0342760982318002,0.0342760982318002
"Lautaro",0.236589207278673,0.763410792721327,0.0302401568288642,0.0302401568288642
"Lebu",0.723604519234106,0.276395480765894,0.0433751694821322,0.0433751694821322
"Limache",0.670787559343014,0.329212440656986,0.038828738680012,0.038828738680012
"Linares",0.747206089746952,0.252793910253048,0.0285223055661994,0.0285223055661994
"Lo Barnechea",0.600917682453391,0.399082317546609,0.0462411931067109,0.0462411931067109
"Lo Espejo",0.703102493290987,0.296897506709013,0.0384941585789419,0.0384941585789419
"Lo Prado",0.418084282053619,0.581915717946381,0.0429497135205619,0.0429497135205619
"Loncoche",0.600437161835583,0.399562838164417,0.0508364446492974,0.0508364446492974
"Los Andes",0.625921080628942,0.374078919371058,0.0414674469239335,0.0414674469239335
"Los Angeles",0.779284821249768,0.220715178750232,0.0281211085118316,0.0281211085118316
"Los Vilos",0.80245649462255,0.19754350537745,0.0294204785410735,0.0294204785410735
"Lota",0.721890094644885,0.278109905355115,0.0408027334324998,0.0408027334324998
"Machali",0.756932582273276,0.243067417726724,0.025112909631101,0.025112909631101
"Macul",0.648264785039465,0.351735214960535,0.0330130323288652,0.0330130323288652
"Maipu",0.413892424615625,0.586107575384375,0.0357975245401656,0.0357975245401656
"Maule",0.56882996690917,0.43117003309083,0.0544824712829086,0.0544824712829086
"Melipilla",0.694501988700481,0.305498011299519,0.0373168055876473,0.0373168055876473
"Molina",0.956338112761791,0.0436618872382091,0.0119880070581515,0.0119880070581515
"Mostazal",0.243358042468871,0.756641957531129,0.056356579037082,0.056356579037082
"Natales",0.876316555222727,0.123683444777273,0.0199839089422153,0.0199839089422153
"Nueva Imperial",0.365915767895221,0.634084232104779,0.0530198295334754,0.0530198295334754
"Nunoa",0.590700240705809,0.409299759294191,0.0399014222943414,0.0399014222943414
"Osorno",0.335357854649652,0.664642145350348,0.0346218363194112,0.0346218363194112
"Ovalle",0.480294152114353,0.519705847885647,0.0351083382435075,0.0351083382435075
