"comuna","si_presencia_peleas_con_armas_en_barrioFALSE","si_presencia_peleas_con_armas_en_barrioTRUE","se.si_presencia_peleas_con_armas_en_barrioFALSE","se.si_presencia_peleas_con_armas_en_barrioTRUE"
"Melipilla",0.743886177477506,0.256113822522494,0.0406242931018808,0.0406242931018808
"Molina",0.852450796287349,0.147549203712651,0.0278948048482314,0.0278948048482314
"Mostazal",0.790273678426425,0.209726321573575,0.0440264772238305,0.0440264772238306
"Natales",0.976938016882443,0.0230619831175566,0.00835859189529061,0.00835859189529061
"Nueva Imperial",0.838744020231784,0.161255979768216,0.0375621975589471,0.0375621975589471
"Nunoa",0.891703380225247,0.108296619774753,0.0202376218122973,0.0202376218122973
"Osorno",0.904954607407426,0.0950453925925738,0.0187495233199025,0.0187495233199025
"Ovalle",0.789557745584308,0.210442254415692,0.0288814500691881,0.0288814500691881
"Padre Hurtado",0.808761514858882,0.191238485141118,0.030347751759255,0.030347751759255
"Padre Las Casas",0.864316536103051,0.135683463896949,0.0271492799367044,0.0271492799367044
"Paillaco",0.822959484768764,0.177040515231236,0.0366700873628821,0.0366700873628821
"Paine",0.814326112680025,0.185673887319975,0.0311538971764583,0.0311538971764583
"Panguipulli",0.917935707920116,0.0820642920798844,0.0371271123441781,0.0371271123441781
"Parral",0.841121793117923,0.158878206882078,0.052385039369474,0.052385039369474
"Pedro Aguirre Cerda",0.718850744552565,0.281149255447435,0.0325460382917941,0.0325460382917941
"Penaflor",0.744643193724592,0.255356806275408,0.0327890203870058,0.0327890203870058
"Penalolen",0.720629892561082,0.279370107438918,0.0350576983540321,0.0350576983540321
"Penco",0.820453840857495,0.179546159142505,0.0243120056976675,0.0243120056976675
"Pichilemu",0.894248036217526,0.105751963782474,0.0266190928948946,0.0266190928948946
"Pitrufquen",0.816936399934898,0.183063600065102,0.0304104756768595,0.0304104756768595
"Pozo Almonte",0.800737526966083,0.199262473033917,0.0375857962396652,0.0375857962396652
"Providencia",0.960615159191139,0.0393848408088613,0.00956009872885113,0.00956009872885113
"Pucon",0.925286942071715,0.0747130579282851,0.0287027591884118,0.0287027591884118
"Pudahuel",0.756743836026769,0.243256163973231,0.0367715813723194,0.0367715813723194
"Puente Alto",0.791893840336498,0.208106159663503,0.0224183630820946,0.0224183630820946
"Puerto Montt",0.842507370577246,0.157492629422754,0.0227559420970029,0.0227559420970029
"Puerto Varas",0.897121093332446,0.102878906667554,0.040945861970824,0.040945861970824
"Punta Arenas",0.959459030575559,0.0405409694244413,0.00702281107816966,0.00702281107816966
"Quellon",0.868079781849544,0.131920218150456,0.0307514215340406,0.0307514215340406
"Quilicura",0.74459789836397,0.25540210163603,0.0297684787221556,0.0297684787221556
"Quillon",0.881066497489844,0.118933502510156,0.0299218250380844,0.0299218250380844
"Quillota",0.823988105099428,0.176011894900572,0.0311183919696563,0.0311183919696563
"Quilpue",0.875073883040185,0.124926116959815,0.0176842962365303,0.0176842962365303
"Quinta Normal",0.697548325206435,0.302451674793565,0.0261426214532077,0.0261426214532077
"Quirihue",0.936029338243911,0.0639706617560886,0.0191689721889958,0.0191689721889958
"Rancagua",0.857435750996238,0.142564249003762,0.0210264979761073,0.0210264979761073
"Recoleta",0.593498881139994,0.406501118860006,0.0301054753510046,0.0301054753510046
"Renca",0.747635562321167,0.252364437678833,0.0304134500782836,0.0304134500782836
"Rengo",0.857404786761411,0.142595213238589,0.0231031264064075,0.0231031264064075
"Rio Bueno",0.918225086287185,0.081774913712815,0.0190816499838432,0.0190816499838432
"San Antonio",0.827143137559279,0.172856862440721,0.0326686142095415,0.0326686142095415
"San Bernardo",0.624772627955721,0.375227372044279,0.038587095852661,0.038587095852661
"San Carlos",0.892356974288466,0.107643025711534,0.022525061082483,0.022525061082483
"San Felipe",0.858338871214001,0.141661128785999,0.0221356684615899,0.0221356684615899
"San Fernando",0.830559047273711,0.169440952726289,0.0284367011935604,0.0284367011935604
"San Javier",0.843925410508283,0.156074589491717,0.0286861350188855,0.0286861350188855
"San Joaquin",0.698977584173234,0.301022415826766,0.0409010331148277,0.0409010331148277
"San Miguel",0.836012439954532,0.163987560045468,0.0199820737062643,0.0199820737062643
"San Pedro de la Paz",0.781899545953368,0.218100454046632,0.0307352400631975,0.0307352400631975
"San Ramon",0.661653389381803,0.338346610618197,0.0350226251087838,0.0350226251087838
"San Vicente",0.879290252902298,0.120709747097702,0.0372377112493769,0.0372377112493769
"Santa Cruz",0.891620049345483,0.108379950654517,0.0296309851444608,0.0296309851444608
"Santiago",0.634420759905121,0.365579240094879,0.0190500155055762,0.0190500155055762
"Talagante",0.798196697071198,0.201803302928802,0.0266153033661961,0.0266153033661961
"Talca",0.839197395003182,0.160802604996818,0.0181518222208082,0.0181518222208082
"Talcahuano",0.703572497544128,0.296427502455872,0.04049431749379,0.04049431749379
"Temuco",0.891602376881065,0.108397623118935,0.0137478471891705,0.0137478471891705
"Tocopilla",0.850503027002496,0.149496972997504,0.0291199161779678,0.0291199161779678
"Tome",0.845548522851153,0.154451477148847,0.0234528694851721,0.0234528694851721
"Valdivia",0.835677412991697,0.164322587008303,0.0192174790034605,0.0192174790034605
"Vallenar",0.75882091929142,0.24117908070858,0.0274349982199466,0.0274349982199466
"Valparaiso",0.772096201137972,0.227903798862029,0.0190937078893687,0.0190937078893687
"Victoria",0.919309759583171,0.0806902404168287,0.0295385454107777,0.0295385454107777
"Vilcun",0.818519474894538,0.181480525105462,0.0593351729168138,0.0593351729168138
"Villa Alemana",0.874362060421935,0.125637939578065,0.0155634987799021,0.0155634987799021
"Villarrica",0.757020167290484,0.242979832709516,0.041091379665201,0.041091379665201
"Vina del Mar",0.813923404388328,0.186076595611672,0.0159496826446315,0.0159496826446315
"Vitacura",0.935692004562467,0.0643079954375333,0.0193535926741712,0.0193535926741712
"Yungay",0.93235582647313,0.0676441735268698,0.0225008213730439,0.0225008213730439
