"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"Huechuraba",0.881350052582948,0.118649947417052,0.0264751623072088,0.0264751623072088
"Illapel",0.71186640147958,0.28813359852042,0.0274438142707546,0.0274438142707546
"Independencia",0.71203693310634,0.28796306689366,0.0433080244919362,0.0433080244919362
"Iquique",0.67933494087672,0.32066505912328,0.0221613112680697,0.0221613112680697
"La Cisterna",0.769931573573086,0.230068426426914,0.032682575384958,0.032682575384958
"La Florida",0.774570026186875,0.225429973813125,0.0207358039643419,0.0207358039643419
"La Granja",0.816524465454633,0.183475534545367,0.0254673444062229,0.0254673444062229
"La Ligua",0.599936877793453,0.400063122206547,0.0366281244800152,0.0366281244800152
"La Pintana",0.842355352802849,0.157644647197151,0.031377368626727,0.031377368626727
"La Reina",0.647927790649377,0.352072209350623,0.0302409735711268,0.0302409735711268
"La Serena",0.585177138847895,0.414822861152105,0.0227179650357397,0.0227179650357397
"La Union",0.589173700803139,0.410826299196861,0.0221187412661374,0.0221187412661374
"Lampa",0.799426948771942,0.200573051228058,0.0237877254045387,0.0237877254045387
"Las Condes",0.547041892131827,0.452958107868173,0.0301421782056409,0.0301421782056409
"Lautaro",0.62303082466156,0.37696917533844,0.0343916349992776,0.0343916349992776
"Lebu",0.675997394543632,0.324002605456368,0.0278574148569052,0.0278574148569052
"Limache",0.712193346138958,0.287806653861042,0.0329345312917246,0.0329345312917246
"Linares",0.728459677892014,0.271540322107986,0.0208148954528855,0.0208148954528855
"Lo Barnechea",0.625044665811218,0.374955334188782,0.0390624748496085,0.0390624748496085
"Lo Espejo",0.827493488008747,0.172506511991253,0.0233174310882075,0.0233174310882075
"Lo Prado",0.775400955663229,0.224599044336771,0.0313418504090542,0.0313418504090542
"Loncoche",0.740614408948785,0.259385591051215,0.0267512472235135,0.0267512472235135
"Los Andes",0.734305313714246,0.265694686285753,0.0256283834192354,0.0256283834192354
"Los Angeles",0.714195844219056,0.285804155780944,0.0293283853727901,0.0293283853727901
"Los Vilos",0.707445160402506,0.292554839597494,0.0258229419278891,0.0258229419278891
"Lota",0.707083390843528,0.292916609156472,0.0322395387666038,0.0322395387666038
"Machali",0.702986164474887,0.297013835525113,0.0286956418448032,0.0286956418448032
"Macul",0.778628290215017,0.221371709784983,0.0236061834618965,0.0236061834618965
"Maipu",0.808194751185294,0.191805248814706,0.0214454228451875,0.0214454228451875
"Maule",0.691570529942478,0.308429470057522,0.0323496164367303,0.0323496164367303
"Melipilla",0.746698829674706,0.253301170325294,0.0273461620920331,0.0273461620920331
"Molina",0.724744126094441,0.275255873905559,0.0357108565331944,0.0357108565331944
"Mostazal",0.590125096581572,0.409874903418428,0.0562065461079337,0.0562065461079337
"Natales",0.555510219442155,0.444489780557845,0.02741093143569,0.02741093143569
"Nueva Imperial",0.707064880315694,0.292935119684306,0.0559929186102328,0.0559929186102328
"Nunoa",0.641074954714741,0.358925045285259,0.0277505479535318,0.0277505479535318
"Osorno",0.696104916168958,0.303895083831042,0.0276899411213595,0.0276899411213595
"Ovalle",0.733508184776022,0.266491815223978,0.0235851329956605,0.0235851329956605
"Padre Hurtado",0.897329712748867,0.102670287251134,0.0164418478434286,0.0164418478434286
"Padre Las Casas",0.69293683859536,0.30706316140464,0.0365603311711667,0.0365603311711667
"Paillaco",0.70000811627929,0.29999188372071,0.0410845694156057,0.0410845694156057
"Paine",0.698992878869971,0.301007121130029,0.0258329639074729,0.0258329639074729
"Panguipulli",0.534974972259317,0.465025027740683,0.0418196010307435,0.0418196010307435
"Parral",0.708627840062398,0.291372159937602,0.0376272248840107,0.0376272248840107
"Pedro Aguirre Cerda",0.70891150282113,0.29108849717887,0.0341113963070516,0.0341113963070516
"Penaflor",0.719169949573278,0.280830050426722,0.0295809837494508,0.0295809837494508
"Penalolen",0.641757653475234,0.358242346524766,0.0346345950973341,0.0346345950973341
"Penco",0.617463309139484,0.382536690860516,0.0275935398302718,0.0275935398302718
"Pichilemu",0.721310682451874,0.278689317548126,0.0320808617286734,0.0320808617286734
