"comuna","si_medida_seguridad_cercoFALSE","si_medida_seguridad_cercoTRUE","se.si_medida_seguridad_cercoFALSE","se.si_medida_seguridad_cercoTRUE"
"Maipu",0.965630010935183,0.0343699890648175,0.00822477544715995,0.00822477544715995
"Maule",0.991701667195611,0.00829833280438843,0.00634722578586324,0.00634722578586325
"Melipilla",0.992938519461122,0.00706148053887767,0.00597681789416657,0.00597681789416657
"Molina",0.998603846058935,0.00139615394106441,0.0014133755695612,0.0014133755695612
"Mostazal",0.947676079802798,0.0523239201972023,0.0163328278920728,0.0163328278920728
"Natales",0.948019017254272,0.0519809827457281,0.0121856058574184,0.0121856058574184
"Nueva Imperial",0.942975325422954,0.0570246745770454,0.0209259055344916,0.0209259055344916
"Nunoa",0.800597218428847,0.199402781571153,0.0260267168411037,0.0260267168411037
"Osorno",0.688434397125773,0.311565602874227,0.0394452565639419,0.0394452565639419
"Ovalle",0.977515250910411,0.0224847490895885,0.00804026346113197,0.00804026346113197
"Padre Hurtado",0.952873943311339,0.0471260566886615,0.0141474857923892,0.0141474857923892
"Padre Las Casas",0.96386598444801,0.0361340155519903,0.0154528802495199,0.0154528802495199
"Paillaco",0.985473207218223,0.0145267927817773,0.00714395694931302,0.00714395694931303
"Paine",0.976555011952592,0.023444988047408,0.0106175023570879,0.0106175023570879
"Panguipulli",0.983682741900355,0.016317258099645,0.0122666568898468,0.0122666568898468
"Parral",0.974370115973985,0.0256298840260146,0.0100150005350686,0.0100150005350686
"Pedro Aguirre Cerda",0.966500100504714,0.0334998994952863,0.0115336636755553,0.0115336636755553
"Penaflor",0.986019476440403,0.0139805235595965,0.00800622756265897,0.00800622756265897
"Penalolen",0.913207107205037,0.0867928927949635,0.0261782714719698,0.0261782714719698
"Penco",0.915383805200511,0.0846161947994887,0.0272377502577873,0.0272377502577873
"Pichilemu",0.923902258675126,0.0760977413248739,0.0420679186313802,0.0420679186313802
"Pitrufquen",0.964913873522631,0.0350861264773689,0.0139855590396101,0.0139855590396101
"Pozo Almonte",0.830875709211688,0.169124290788312,0.0798394693265154,0.0798394693265154
"Providencia",0.847883600712187,0.152116399287813,0.0216202866430859,0.0216202866430859
"Pucon",0.814322887972919,0.185677112027081,0.0484374635819079,0.0484374635819079
"Pudahuel",0.94399038234669,0.0560096176533105,0.0235663875124768,0.0235663875124768
"Puente Alto",0.958289165779744,0.0417108342202561,0.0109896657440797,0.0109896657440797
"Puerto Montt",0.853381312264444,0.146618687735556,0.0281997976493477,0.0281997976493477
"Puerto Varas",0.914459533490817,0.085540466509183,0.0229758775458151,0.0229758775458151
"Punta Arenas",0.838900285481678,0.161099714518322,0.0158941449261455,0.0158941449261455
"Quellon",0.984063214581459,0.0159367854185408,0.00882398843502635,0.00882398843502635
"Quilicura",0.997839234622478,0.00216076537752237,0.00215536218552395,0.00215536218552395
"Quillon",0.933822814743357,0.0661771852566432,0.0213407381530238,0.0213407381530238
"Quillota",0.950933509766325,0.0490664902336749,0.0141997570685837,0.0141997570685837
"Quilpue",0.943052369495883,0.0569476305041169,0.0143167198629294,0.0143167198629294
"Quinta Normal",0.898524854237713,0.101475145762287,0.0243761811752961,0.0243761811752961
"Quirihue",0.893557074605915,0.106442925394085,0.0439072724857232,0.0439072724857232
"Rancagua",0.938379100467488,0.0616208995325117,0.0137060100807916,0.0137060100807916
"Recoleta",0.954041047448428,0.0459589525515716,0.0142811968211476,0.0142811968211476
"Renca",0.983528159168304,0.0164718408316963,0.0089326710125605,0.0089326710125605
"Rengo",0.949567409792964,0.0504325902070364,0.0185479583662854,0.0185479583662854
"Rio Bueno",0.974137829014375,0.0258621709856255,0.0116604215105496,0.0116604215105496
"San Antonio",0.959711764758685,0.0402882352413148,0.0162251995485141,0.0162251995485141
"San Bernardo",0.958300833417287,0.0416991665827125,0.0121101164001854,0.0121101164001854
"San Carlos",0.980958868953585,0.0190411310464155,0.0102230579464924,0.0102230579464924
"San Felipe",0.987286002372123,0.0127139976278769,0.00608725349108574,0.00608725349108574
"San Fernando",0.596711987115476,0.403288012884523,0.0400958820928883,0.0400958820928883
"San Javier",0.989885998476234,0.010114001523766,0.00494919402314933,0.00494919402314933
"San Joaquin",0.964967302375188,0.035032697624812,0.0185408746831394,0.0185408746831394
"San Miguel",0.78586000985141,0.21413999014859,0.0415692662627241,0.0415692662627241
"San Pedro de la Paz",0.882109659030836,0.117890340969164,0.0234448116147392,0.0234448116147392
"San Ramon",0.973320435230411,0.0266795647695888,0.0103173341218885,0.0103173341218885
"San Vicente",0.99258267506074,0.00741732493925957,0.00575705490053338,0.00575705490053338
"Santa Cruz",0.923036875581838,0.0769631244181617,0.0379916166042625,0.0379916166042625
"Santiago",0.932678097723611,0.0673219022763888,0.0124366864254699,0.0124366864254699
"Talagante",0.974501318602417,0.0254986813975827,0.0109442903923477,0.0109442903923477
"Talca",0.967258821631383,0.0327411783686172,0.00813337464723665,0.00813337464723665
"Talcahuano",0.951565405903695,0.0484345940963048,0.0127369400575815,0.0127369400575815
"Temuco",0.882452538093717,0.117547461906283,0.0199755506273625,0.0199755506273625
"Tocopilla",0.996754055294797,0.00324594470520259,0.00323843280366001,0.00323843280366001
"Tome",0.970376029916726,0.0296239700832739,0.0100427464289556,0.0100427464289556
"Valdivia",0.929466622146848,0.0705333778531519,0.0161064588594478,0.0161064588594478
"Vallenar",0.954594092887554,0.0454059071124458,0.0199450617403214,0.0199450617403214
"Valparaiso",0.944941155236712,0.0550588447632879,0.0145388232050271,0.0145388232050271
"Victoria",0.912909759894031,0.087090240105969,0.0381997909227068,0.0381997909227067
"Vilcun",0.800968249692693,0.199031750307307,0.0457649952002182,0.0457649952002182
"Villa Alemana",0.921227453042313,0.0787725469576867,0.0169969877988955,0.0169969877988955
"Villarrica",0.830294668069675,0.169705331930325,0.0495463234892706,0.0495463234892706
"Vina del Mar",0.893013364681245,0.106986635318755,0.0166467626859767,0.0166467626859767
"Vitacura",0.767599388830191,0.232400611169809,0.0416721145717746,0.0416721145717746
"Yungay",1,0,5.14027387607046e-18,0
