"comuna","confia_muchobastante_pdiFALSE","confia_muchobastante_pdiTRUE","se.confia_muchobastante_pdiFALSE","se.confia_muchobastante_pdiTRUE"
"San Fernando",0.70229928688615,0.29770071311385,0.0276567339564152,0.0276567339564152
"San Javier",0.763254399548698,0.236745600451302,0.0244896363054898,0.0244896363054898
"San Joaquin",0.838368001844,0.161631998156,0.0290928139387902,0.0290928139387902
"San Miguel",0.778563890388375,0.221436109611625,0.0196883293254868,0.0196883293254868
"San Pedro de la Paz",0.858852406989381,0.141147593010619,0.0159441836442681,0.0159441836442681
"San Ramon",0.861171526432014,0.138828473567987,0.0196328989632309,0.0196328989632309
"San Vicente",0.866644223342585,0.133355776657415,0.0243509169884248,0.0243509169884248
"Santa Cruz",0.87914111899906,0.12085888100094,0.0266192581620878,0.0266192581620878
"Santiago",0.8184446097635,0.1815553902365,0.0150070713908484,0.0150070713908484
"Talagante",0.814200565932372,0.185799434067628,0.0233855182130443,0.0233855182130443
"Talca",0.784233142840305,0.215766857159695,0.0178393807912464,0.0178393807912464
"Talcahuano",0.705683965115067,0.294316034884933,0.0269479120517694,0.0269479120517694
"Temuco",0.784674929034736,0.215325070965264,0.019215183431089,0.019215183431089
"Tocopilla",0.810321292110983,0.189678707889017,0.0346583512059046,0.0346583512059046
"Tome",0.791474550152639,0.208525449847361,0.0207730420126582,0.0207730420126582
"Valdivia",0.761990960269004,0.238009039730995,0.0181414632244307,0.0181414632244307
"Vallenar",0.811272398480932,0.188727601519068,0.0286149082068375,0.0286149082068375
"Valparaiso",0.85374196596227,0.14625803403773,0.0153244968248984,0.0153244968248984
"Victoria",0.755914690569598,0.244085309430402,0.033923460812343,0.033923460812343
"Vilcun",0.94375329436319,0.0562467056368096,0.0151928761660752,0.0151928761660752
"Villa Alemana",0.876788823637857,0.123211176362143,0.0144545676801537,0.0144545676801537
"Villarrica",0.837461630396745,0.162538369603254,0.0272534786692222,0.0272534786692222
"Vina del Mar",0.753044818043413,0.246955181956587,0.0186194028098591,0.0186194028098591
"Vitacura",0.825122120772698,0.174877879227302,0.0359993885650949,0.0359993885650949
"Yungay",0.812809490759299,0.187190509240701,0.0352304446349792,0.0352304446349792
