"comuna","si_medidas_seguridad_whatsappFALSE","si_medidas_seguridad_whatsappTRUE","se.si_medidas_seguridad_whatsappFALSE","se.si_medidas_seguridad_whatsappTRUE"
"Donihue",0.523548359748233,0.476451640251767,0.0510833490621049,0.0510833490621049
"El Bosque",0.468200068308523,0.531799931691477,0.049003250948657,0.049003250948657
"Estacion Central",0.421169658990953,0.578830341009047,0.0446393401805937,0.0446393401805937
"Graneros",0.435073870203663,0.564926129796337,0.0467689482573915,0.0467689482573915
"Hualpen",0.397348690138925,0.602651309861075,0.0427129958634093,0.0427129958634093
"Huechuraba",0.52538243824506,0.47461756175494,0.0716386271495022,0.0716386271495022
"Illapel",0.585336834099644,0.414663165900356,0.038130662310648,0.038130662310648
"Independencia",0.410928424231697,0.589071575768303,0.0399571105384911,0.0399571105384911
"Iquique",0.498063074359512,0.501936925640488,0.0269131664653888,0.0269131664653888
"La Cisterna",0.355091386618353,0.644908613381647,0.0412361090281127,0.0412361090281127
"La Florida",0.312462023031924,0.687537976968076,0.0316174816868034,0.0316174816868034
"La Granja",0.510295672417164,0.489704327582836,0.0436527776660366,0.0436527776660366
"La Ligua",0.515920026490406,0.484079973509594,0.0450741631671537,0.0450741631671537
"La Pintana",0.525999257864505,0.474000742135495,0.0456668356856262,0.0456668356856262
"La Reina",0.228951827198096,0.771048172801904,0.0304724644601374,0.0304724644601374
"La Serena",0.411539689854677,0.588460310145324,0.02907856332625,0.02907856332625
"La Union",0.743126051579914,0.256873948420086,0.0341427740796492,0.0341427740796492
"Lampa",0.416077630822799,0.583922369177201,0.0401997877217564,0.0401997877217564
"Las Condes",0.460847946673521,0.539152053326479,0.0338825729042107,0.0338825729042107
"Lautaro",0.669642964207609,0.330357035792391,0.0444988384004045,0.0444988384004045
"Lebu",0.683630994568465,0.316369005431535,0.0342595426099534,0.0342595426099534
"Limache",0.542067434864859,0.457932565135141,0.0381759898742552,0.0381759898742552
"Linares",0.579328560140533,0.420671439859467,0.0280986754900787,0.0280986754900787
"Lo Barnechea",0.268565908420213,0.731434091579787,0.0415639571894376,0.0415639571894376
"Lo Espejo",0.588698210552458,0.411301789447542,0.0355575939050109,0.0355575939050109
"Lo Prado",0.386939146073477,0.613060853926523,0.0421078451220123,0.0421078451220123
"Loncoche",0.689434811094845,0.310565188905155,0.0688546783636798,0.0688546783636798
"Los Andes",0.531163114846928,0.468836885153072,0.0380892990318756,0.0380892990318756
"Los Angeles",0.589628363097769,0.410371636902231,0.0324502638356582,0.0324502638356582
"Los Vilos",0.686876526781972,0.313123473218028,0.0364505718638065,0.0364505718638065
"Lota",0.648254245661476,0.351745754338524,0.036556124194865,0.036556124194865
"Machali",0.306345803946451,0.693654196053549,0.0341385502033823,0.0341385502033823
"Macul",0.288541227487827,0.711458772512173,0.0294635656326517,0.0294635656326517
"Maipu",0.25765698882961,0.74234301117039,0.0235867842319532,0.0235867842319532
"Maule",0.454532300356633,0.545467699643367,0.0409081278262338,0.0409081278262338
"Melipilla",0.499296149830844,0.500703850169156,0.0463893621327724,0.0463893621327724
"Molina",0.623912541291956,0.376087458708044,0.0388307663519525,0.0388307663519525
"Mostazal",0.472917476193335,0.527082523806665,0.0567359712820542,0.0567359712820542
"Natales",0.826854212588249,0.173145787411751,0.0336017125957695,0.0336017125957695
"Nueva Imperial",0.576499190118772,0.423500809881228,0.050136996620407,0.050136996620407
"Nunoa",0.255513926513439,0.744486073486561,0.0242748302078505,0.0242748302078505
"Osorno",0.578736227369231,0.421263772630769,0.0325500061528667,0.0325500061528667
"Ovalle",0.584106785826548,0.415893214173452,0.0294031206652149,0.0294031206652149
