"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"Estacion Central",0.684039442514948,0.315960557485052,0.0332350257948867,0.0332350257948867
"Graneros",0.713080869110832,0.286919130889168,0.0369458565037997,0.0369458565037997
"Hualpen",0.816508239363444,0.183491760636556,0.0220499371270561,0.0220499371270561
"Huechuraba",0.75062880133822,0.24937119866178,0.0448949985017551,0.0448949985017551
"Illapel",0.825354012205256,0.174645987794744,0.0214908923206901,0.0214908923206901
"Independencia",0.539118286172677,0.460881713827323,0.0473261821670135,0.0473261821670135
"Iquique",0.735924418132305,0.264075581867695,0.0202206995616353,0.0202206995616353
"La Cisterna",0.751290580396922,0.248709419603078,0.0294035149171474,0.0294035149171474
"La Florida",0.753905500106344,0.246094499893656,0.0246273469467576,0.0246273469467576
"La Granja",0.66208636833318,0.33791363166682,0.0339583351553943,0.0339583351553943
"La Ligua",0.860870624677244,0.139129375322756,0.0222365289031733,0.0222365289031733
"La Pintana",0.509811215923123,0.490188784076877,0.0383094346685538,0.0383094346685538
"La Reina",0.869759760965939,0.130240239034061,0.027738809732971,0.027738809732971
"La Serena",0.864106528666552,0.135893471333449,0.0156766520222257,0.0156766520222257
"La Union",0.869006319513528,0.130993680486472,0.0160658752160036,0.0160658752160036
"Lampa",0.753772351427743,0.246227648572257,0.0223420223717784,0.0223420223717784
"Las Condes",0.875100419174427,0.124899580825573,0.0192207786609425,0.0192207786609425
"Lautaro",0.875265822421237,0.124734177578763,0.0282894965404366,0.0282894965404366
"Lebu",0.835164197128638,0.164835802871362,0.0245014117665678,0.0245014117665679
"Limache",0.843594212778999,0.156405787221001,0.0269893977907801,0.0269893977907801
"Linares",0.87138482715656,0.12861517284344,0.0172150691795113,0.0172150691795113
"Lo Barnechea",0.848306684411437,0.151693315588563,0.0298014496965253,0.0298014496965253
"Lo Espejo",0.647905336657668,0.352094663342332,0.0274696382511579,0.0274696382511579
"Lo Prado",0.685340431731604,0.314659568268396,0.0412298110145674,0.0412298110145674
"Loncoche",0.871287474649778,0.128712525350222,0.0312654201754159,0.0312654201754159
"Los Andes",0.780280973121517,0.219719026878483,0.0306089110939162,0.0306089110939162
"Los Angeles",0.831183559340813,0.168816440659187,0.0232040210315618,0.0232040210315618
"Los Vilos",0.795102427530285,0.204897572469715,0.0360815717520999,0.0360815717520999
"Lota",0.778296913605126,0.221703086394874,0.0254017306470463,0.0254017306470463
"Machali",0.809765706225538,0.190234293774461,0.0272120911355677,0.0272120911355677
"Macul",0.731797139877832,0.268202860122168,0.0264439303487951,0.0264439303487951
"Maipu",0.798952938717851,0.201047061282149,0.0216381696117936,0.0216381696117936
"Maule",0.823143314796545,0.176856685203455,0.0230641739861152,0.0230641739861152
"Melipilla",0.68225999894579,0.31774000105421,0.0398354460952666,0.0398354460952666
"Molina",0.850777269541019,0.149222730458981,0.0292113818040403,0.0292113818040403
"Mostazal",0.814473457397965,0.185526542602035,0.0332742747632222,0.0332742747632222
"Natales",0.909825050333491,0.0901749496665093,0.019335928490728,0.019335928490728
