"comuna","si_medida_seguridad_cercoFALSE","si_medida_seguridad_cercoTRUE","se.si_medida_seguridad_cercoFALSE","se.si_medida_seguridad_cercoTRUE"
"Padre Las Casas",0.953743755162707,0.0462562448372925,0.0191486027924498,0.0191486027924498
"Paillaco",0.979296130833344,0.0207038691666565,0.00978472039065367,0.00978472039065367
"Paine",0.980612219216532,0.019387780783468,0.00766146999829579,0.0076614699982958
"Panguipulli",0.99110208668656,0.00889791331344032,0.00604717812019904,0.00604717812019903
"Parral",0.968523096655948,0.0314769033440521,0.0117899599386391,0.0117899599386391
"Pedro Aguirre Cerda",0.97290384590488,0.0270961540951202,0.00868867949815526,0.00868867949815526
"Penaflor",0.983656899394138,0.0163431006058617,0.00932680401504687,0.00932680401504688
"Penalolen",0.920197813455631,0.0798021865443692,0.0229619186626914,0.0229619186626914
"Penco",0.917447714249528,0.0825522857504722,0.0262305662721114,0.0262305662721114
"Pichilemu",0.941273811380318,0.0587261886196816,0.0302271332223123,0.0302271332223123
"Pitrufquen",0.973476201246229,0.0265237987537706,0.0109078201573605,0.0109078201573605
"Pozo Almonte",0.816924900797457,0.183075099202543,0.086802354011782,0.086802354011782
"Providencia",0.845349135530016,0.154650864469984,0.0209624438006065,0.0209624438006065
"Pucon",0.792814608292023,0.207185391707977,0.0454874747543017,0.0454874747543017
"Pudahuel",0.935087304625175,0.064912695374825,0.0267339623278627,0.0267339623278627
"Puente Alto",0.949835744531246,0.0501642554687536,0.0133356761010914,0.0133356761010914
"Puerto Montt",0.825084904810465,0.174915095189534,0.0318906500713994,0.0318906500713994
"Puerto Varas",0.918492677291197,0.0815073227088026,0.021078240162949,0.021078240162949
"Punta Arenas",0.832822934724695,0.167177065275305,0.0169826202746839,0.0169826202746839
"Quellon",0.985089563868482,0.0149104361315178,0.00827058299897102,0.00827058299897102
"Quilicura",0.995565974872651,0.00443402512734936,0.00441627613709992,0.00441627613709992
"Quillon",0.942631860514924,0.0573681394850758,0.0186303324613441,0.0186303324613441
"Quillota",0.94159659482255,0.0584034051774497,0.0175348191593536,0.0175348191593536
"Quilpue",0.93494216302885,0.0650578369711503,0.0158430615213621,0.0158430615213621
"Quinta Normal",0.881562316550651,0.118437683449348,0.0298527742354258,0.0298527742354258
"Quirihue",0.898466018567054,0.101533981432946,0.0466426258434602,0.0466426258434601
"Rancagua",0.939219505067369,0.0607804949326312,0.0139566012962136,0.0139566012962136
"Recoleta",0.933938289531949,0.0660617104680511,0.0185496795278892,0.0185496795278892
"Renca",0.980069430861553,0.0199305691384475,0.0102835704573591,0.0102835704573591
"Rengo",0.937498107486912,0.062501892513088,0.0205421007386513,0.0205421007386513
"Rio Bueno",0.96863168646705,0.0313683135329504,0.0129720140782273,0.0129720140782273
"San Antonio",0.95464831128156,0.0453516887184403,0.0164166189273192,0.0164166189273192
"San Bernardo",0.961939212482473,0.0380607875175267,0.0115026129263886,0.0115026129263886
"San Carlos",0.98154222366572,0.0184577763342797,0.00967267255876166,0.00967267255876166
"San Felipe",0.988357177972928,0.0116428220270724,0.00549270749026379,0.00549270749026379
"San Fernando",0.595275851979748,0.404724148020253,0.0391868685903073,0.0391868685903073
"San Javier",0.989372687092294,0.0106273129077057,0.00517444445527459,0.00517444445527459
"San Joaquin",0.960554759840087,0.0394452401599135,0.0217376147151764,0.0217376147151764
"San Miguel",0.784514318687076,0.215485681312924,0.0423366978550672,0.0423366978550672
"San Pedro de la Paz",0.87896107681549,0.12103892318451,0.0241901580931607,0.0241901580931607
"San Ramon",0.982224146770995,0.0177758532290052,0.00660444591520766,0.00660444591520766
"San Vicente",0.986321576610273,0.0136784233897265,0.00977606061285226,0.00977606061285227
"Santa Cruz",0.936898534822899,0.0631014651771011,0.0319099522871332,0.0319099522871332
"Santiago",0.934639999617489,0.0653600003825112,0.0119105956343063,0.0119105956343063
"Talagante",0.96918867775464,0.0308113222453597,0.0131680257074611,0.0131680257074611
"Talca",0.968584812783069,0.0314151872169311,0.00791003344498568,0.00791003344498568
"Talcahuano",0.93883531534747,0.06116468465253,0.0161836573565241,0.0161836573565241
"Temuco",0.883924852901719,0.116075147098281,0.0203906285354724,0.0203906285354724
"Tocopilla",0.996193531292184,0.00380646870781655,0.00381380374161769,0.00381380374161769
"Tome",0.969310650616248,0.030689349383752,0.00910907399337759,0.00910907399337759
"Valdivia",0.93151186687222,0.0684881331277801,0.0149674960047774,0.0149674960047774
"Vallenar",0.941136673725342,0.0588633262746583,0.0251273908926261,0.0251273908926261
"Valparaiso",0.947498524323928,0.0525014756760723,0.0155603727045511,0.0155603727045511
"Victoria",0.92089701390439,0.0791029860956097,0.0310394036178402,0.0310394036178402
"Vilcun",0.816959015447879,0.183040984552121,0.0380114817754183,0.0380114817754183
"Villa Alemana",0.923379108605463,0.0766208913945372,0.0176939929816279,0.0176939929816279
"Villarrica",0.828974560629061,0.171025439370939,0.0512611709826315,0.0512611709826315
"Vina del Mar",0.8833172938606,0.1166827061394,0.0182137893743098,0.0182137893743098
"Vitacura",0.751137192731571,0.248862807268429,0.0448248764621666,0.0448248764621666
"Yungay",1,0,0,0
