"comuna","si_medida_seguridad_rejasFALSE","si_medida_seguridad_rejasTRUE","se.si_medida_seguridad_rejasFALSE","se.si_medida_seguridad_rejasTRUE"
"Huechuraba",0.517094543581853,0.482905456418147,0.0597073923676878,0.0597073923676878
"Illapel",0.444049373800552,0.555950626199448,0.0287679313452982,0.0287679313452982
"Independencia",0.468422859841547,0.531577140158453,0.0664673644119783,0.0664673644119783
"Iquique",0.43778254580787,0.56221745419213,0.0277490951931799,0.0277490951931799
"La Cisterna",0.434948575773475,0.565051424226525,0.049005403199233,0.049005403199233
"La Florida",0.269218787110169,0.730781212889831,0.0277084052306799,0.0277084052306799
"La Granja",0.163624956825211,0.836375043174788,0.026150714354743,0.026150714354743
"La Ligua",0.489843321494023,0.510156678505977,0.0423254837366873,0.0423254837366873
"La Pintana",0.275768266557022,0.724231733442978,0.0376235176409919,0.0376235176409919
"La Reina",0.405817871611859,0.594182128388141,0.0446877187004175,0.0446877187004175
"La Serena",0.379004268158614,0.620995731841386,0.0324193441630866,0.0324193441630866
"La Union",0.882713048479879,0.117286951520121,0.0242932125315004,0.0242932125315004
"Lampa",0.495353118262001,0.504646881737999,0.0354611532929054,0.0354611532929054
"Las Condes",0.397535943778955,0.602464056221045,0.0411942811089174,0.0411942811089174
"Lautaro",0.898957985685206,0.101042014314794,0.0215300907850488,0.0215300907850488
"Lebu",0.665265480056038,0.334734519943962,0.0466421230713209,0.0466421230713209
"Limache",0.46360472956997,0.53639527043003,0.034778718222726,0.034778718222726
"Linares",0.388621871837243,0.611378128162757,0.030776966731715,0.030776966731715
"Lo Barnechea",0.409279839535163,0.590720160464837,0.0542312505437501,0.0542312505437501
"Lo Espejo",0.144911041615478,0.855088958384522,0.024702730578255,0.024702730578255
"Lo Prado",0.174517600560524,0.825482399439476,0.0282776098569598,0.0282776098569598
"Loncoche",0.79706433726687,0.20293566273313,0.0331661907691743,0.0331661907691743
"Los Andes",0.465604432875474,0.534395567124526,0.0335404543913451,0.0335404543913451
"Los Angeles",0.368024550629603,0.631975449370397,0.0363876462888981,0.0363876462888981
"Los Vilos",0.627014055678166,0.372985944321834,0.0434619848154342,0.0434619848154342
"Lota",0.397683566385834,0.602316433614166,0.0379193976756439,0.0379193976756439
"Machali",0.659022276073063,0.340977723926937,0.0356834450077779,0.0356834450077779
"Macul",0.438575738015459,0.561424261984541,0.038851718077341,0.038851718077341
"Maipu",0.196558282603389,0.803441717396611,0.0294652340277135,0.0294652340277135
"Maule",0.240822601762548,0.759177398237452,0.0384608513331565,0.0384608513331565
"Melipilla",0.330507151970786,0.669492848029214,0.0437582839802773,0.0437582839802773
"Molina",0.63744400084577,0.362555999154229,0.0351465747232535,0.0351465747232535
"Mostazal",0.653461116621876,0.346538883378124,0.0361121683244298,0.0361121683244298
"Natales",0.900362057287907,0.0996379427120935,0.0166556923092962,0.0166556923092962
"Nueva Imperial",0.630815563406973,0.369184436593027,0.0554822975815473,0.0554822975815473
"Nunoa",0.68097881982205,0.31902118017795,0.033110614682146,0.033110614682146
"Osorno",0.724301711245079,0.275698288754921,0.0275635742537228,0.0275635742537228
"Ovalle",0.216948953381896,0.783051046618104,0.0374163317709025,0.0374163317709025
"Padre Hurtado",0.361853486090077,0.638146513909923,0.0310119210278622,0.0310119210278622
"Padre Las Casas",0.614494533150051,0.385505466849949,0.0412201737555115,0.0412201737555115
"Paillaco",0.849715901165177,0.150284098834823,0.0312452705628668,0.0312452705628668
"Paine",0.369614429136227,0.630385570863773,0.0556661011079128,0.0556661011079128
"Panguipulli",0.966954223394048,0.0330457766059523,0.0163125805338624,0.0163125805338624
"Parral",0.450991725136594,0.549008274863406,0.0410030880391603,0.0410030880391603
"Pedro Aguirre Cerda",0.420536572101852,0.579463427898148,0.0407815153992512,0.0407815153992512
"Penaflor",0.415203015532274,0.584796984467726,0.0381497391290214,0.0381497391290214
"Penalolen",0.462634779560373,0.537365220439627,0.0390499893057136,0.0390499893057136
