"comuna","acceso_directoFALSE","acceso_directoTRUE","se.acceso_directoFALSE","se.acceso_directoTRUE"
"San Felipe",0.0779169507405517,0.922083049259448,0.0231647856310797,0.0231647856310797
"San Fernando",0.0238434886440117,0.976156511355988,0.00887212948293255,0.00887212948293255
"San Javier",0.0166189708220812,0.983381029177919,0.00677065588797837,0.00677065588797837
"San Joaquin",0.217110091104425,0.782889908895575,0.0628963168245788,0.0628963168245788
"San Miguel",0.709976718744887,0.290023281255113,0.0420738124465573,0.0420738124465573
"San Pedro de la Paz",0.239918769457217,0.760081230542783,0.0382765115127061,0.0382765115127061
"San Ramon",0.0212487716352221,0.978751228364778,0.00898991232191151,0.00898991232191151
"San Vicente",0.0285959133277699,0.97140408667223,0.0158994919321311,0.0158994919321311
"Santa Cruz",0.0212251668286762,0.978774833171324,0.0145462253281052,0.0145462253281052
"Santiago",0.778583543887856,0.221416456112144,0.0246617380378573,0.0246617380378573
"Talagante",0.0939542186692247,0.906045781330775,0.0264250142608193,0.0264250142608193
"Talca",0.0727421729384326,0.927257827061567,0.0160627076818854,0.0160627076818854
"Talcahuano",0.0772200692371767,0.922779930762823,0.0215601872014043,0.0215601872014043
"Temuco",0.154691578708391,0.845308421291609,0.0269374762208758,0.0269374762208758
"Tocopilla",0.0234458145037364,0.976554185496264,0.0170284452831274,0.0170284452831274
"Tome",0.0757427282188445,0.924257271781155,0.019990149818572,0.019990149818572
"Valdivia",0.10184646845387,0.89815353154613,0.022170408444001,0.022170408444001
"Vallenar",0.0152394983460689,0.984760501653931,0.00966617385333266,0.00966617385333266
"Valparaiso",0.615125484829237,0.384874515170763,0.0367932899930753,0.0367932899930753
"Victoria",0.0772865128076435,0.922713487192356,0.0311981366665468,0.0311981366665468
"Vilcun",0.014587257042571,0.985412742957429,0.0100547080687507,0.0100547080687507
"Villa Alemana",0.157877755646904,0.842122244353096,0.0253977022688119,0.0253977022688119
"Villarrica",0.356001967693452,0.643998032306548,0.0730168643978639,0.0730168643978639
"Vina del Mar",0.351987184389544,0.648012815610456,0.0328302567867255,0.0328302567867255
"Vitacura",0.576465653608438,0.423534346391562,0.060040062379303,0.060040062379303
"Yungay",0.0409208031842201,0.95907919681578,0.0154784679403935,0.0154784679403935
