"comuna","acceso_controladoFALSE","acceso_controladoTRUE","se.acceso_controladoFALSE","se.acceso_controladoTRUE"
"Collipulli",0.986947754634625,0.0130522453653752,0.00884516790249822,0.00884516790249822
"Concepcion",0.578754132988971,0.421245867011029,0.0396144956484532,0.0396144956484532
"Conchali",0.878197367769844,0.121802632230156,0.0269259847125816,0.0269259847125816
"Concon",0.301968504732282,0.698031495267718,0.0539107464761152,0.0539107464761152
"Constitucion",0.931587602663401,0.0684123973365988,0.0347297271338411,0.0347297271338411
"Copiapo",0.816564763705252,0.183435236294748,0.0340777658190271,0.0340777658190271
"Coquimbo",0.937509162936626,0.0624908370633735,0.02342497328424,0.02342497328424
"Coronel",0.938774798617799,0.0612252013822013,0.018504529367564,0.018504529367564
"Curico",0.94058296347957,0.0594170365204296,0.0172491425249969,0.0172491425249969
"Donihue",0.986122709440359,0.0138772905596416,0.0136022093745115,0.0136022093745115
"El Bosque",0.725838920476251,0.274161079523749,0.0715648431937946,0.0715648431937947
"Estacion Central",0.55224850422621,0.44775149577379,0.0589302552806859,0.0589302552806859
"Graneros",0.93809165932337,0.0619083406766296,0.0196538338745182,0.0196538338745182
"Hualpen",0.855339791956093,0.144660208043907,0.0367377776931647,0.0367377776931647
"Huechuraba",0.678293525590374,0.321706474409626,0.0906084543170389,0.0906084543170389
"Illapel",0.978399669776339,0.0216003302236608,0.0104126810146371,0.0104126810146371
"Independencia",0.3163906724206,0.6836093275794,0.0740168598553693,0.0740168598553693
"Iquique",0.663594027721758,0.336405972278242,0.0373955180108317,0.0373955180108317
"La Cisterna",0.563324853838848,0.436675146161152,0.0663722810832295,0.0663722810832295
"La Florida",0.662807407368188,0.337192592631812,0.0438665020259191,0.0438665020259191
"La Granja",0.8978462642798,0.1021537357202,0.0270418808961803,0.0270418808961803
"La Ligua",0.967681037151032,0.032318962848968,0.0131376834076594,0.0131376834076594
"La Pintana",0.869933448751794,0.130066551248205,0.0484822318118855,0.0484822318118855
"La Reina",0.52069893417923,0.47930106582077,0.0508831849094423,0.0508831849094423
"La Serena",0.782669667070189,0.217330332929811,0.0349212782774567,0.0349212782774567
"La Union",0.970097801221841,0.0299021987781588,0.0122767324278388,0.0122767324278388
"Lampa",0.882942163470291,0.117057836529709,0.0243420249143461,0.0243420249143461
"Las Condes",0.197266839929815,0.802733160070185,0.0422124233561538,0.0422124233561538
"Lautaro",0.991526481829315,0.00847351817068465,0.00849103619820348,0.00849103619820348
"Lebu",0.992513912238181,0.00748608776181937,0.00526459516746749,0.00526459516746749
"Limache",0.575827588831137,0.424172411168863,0.0608334298502154,0.0608334298502154
"Linares",0.946740334410378,0.0532596655896224,0.0189617269328682,0.0189617269328682
"Lo Barnechea",0.539423920915591,0.460576079084409,0.0673205674629837,0.0673205674629837
"Lo Espejo",0.961336249156776,0.0386637508432239,0.0199205496110943,0.0199205496110943
"Lo Prado",0.857517526704172,0.142482473295828,0.0441865497178222,0.0441865497178222
"Loncoche",0.993706281213333,0.00629371878666699,0.00632216084260857,0.00632216084260857
"Los Andes",0.898361401885088,0.101638598114912,0.0321815943686011,0.0321815943686011
"Los Angeles",0.90234609189978,0.0976539081002205,0.0287869026172337,0.0287869026172337
"Los Vilos",0.958891604015222,0.0411083959847782,0.0188172935127144,0.0188172935127144
"Lota",0.948102413973021,0.0518975860269788,0.014572245325094,0.014572245325094
"Machali",0.878297191911792,0.121702808088208,0.0314303592306713,0.0314303592306713
"Macul",0.592085445366254,0.407914554633746,0.0530472380625585,0.0530472380625585
"Maipu",0.850337712550605,0.149662287449395,0.0318375134231313,0.0318375134231313
"Maule",0.9786070133996,0.0213929866003998,0.0130683073461818,0.0130683073461818
"Melipilla",0.959696362078736,0.0403036379212643,0.0146184269425599,0.0146184269425599
"Molina",0.988673365207772,0.0113266347922284,0.00546815884171961,0.00546815884171961
"Mostazal",0.962007694723327,0.0379923052766732,0.0159778672298234,0.0159778672298234
"Natales",0.972361064427279,0.0276389355727216,0.0120853697629876,0.0120853697629876
"Nueva Imperial",0.694133848771541,0.305866151228459,0.103071069452715,0.103071069452715
"Nunoa",0.221859694203857,0.778140305796143,0.0372821976539736,0.0372821976539736
"Osorno",0.910101233210205,0.0898987667897948,0.0316945676903104,0.0316945676903104
"Ovalle",0.907540126621266,0.0924598733787341,0.0336277256244312,0.0336277256244312
"Padre Hurtado",0.97496287047672,0.02503712952328,0.00988546233028219,0.00988546233028219
"Padre Las Casas",0.508848550967014,0.491151449032986,0.072753449829485,0.072753449829485
"Paillaco",0.966863976248133,0.0331360237518673,0.011499585823706,0.011499585823706
"Paine",0.960634912749397,0.039365087250603,0.0146577573290032,0.0146577573290032
"Panguipulli",0.968252127136577,0.0317478728634235,0.0110705058055851,0.0110705058055851
"Parral",0.993866111617744,0.00613388838225582,0.00610286541733914,0.00610286541733914
"Pedro Aguirre Cerda",0.925991864642421,0.0740081353575794,0.0237537788499285,0.0237537788499285
"Penaflor",0.799776038757028,0.200223961242972,0.035193769119334,0.035193769119334
"Penalolen",0.810453135164338,0.189546864835662,0.0449713078384812,0.0449713078384812
"Penco",0.86880896723969,0.13119103276031,0.0319207995239097,0.0319207995239097
"Pichilemu",0.976635546580388,0.0233644534196118,0.0146087621718576,0.0146087621718576
"Pitrufquen",0.976234128372837,0.0237658716271633,0.0141436450052611,0.0141436450052611
"Pozo Almonte",1,0,0,0
"Providencia",0.134982183102154,0.865017816897846,0.023049468728256,0.023049468728256
"Pucon",0.914458408647237,0.0855415913527633,0.049803375864859,0.049803375864859
"Pudahuel",0.846950414657512,0.153049585342488,0.043215333006562,0.043215333006562
"Puente Alto",0.8053084031752,0.1946915968248,0.031709301668936,0.031709301668936
"Puerto Montt",0.904730509747105,0.0952694902528948,0.0252186175373137,0.0252186175373137
"Puerto Varas",0.961960785616579,0.0380392143834212,0.0163239842167455,0.0163239842167455
"Punta Arenas",0.959847086018146,0.0401529139818544,0.00954529552816711,0.00954529552816711
"Quellon",0.98516668631021,0.0148333136897903,0.00843121814428158,0.00843121814428158
"Quilicura",0.844531696005059,0.155468303994941,0.0432308459320838,0.0432308459320838
"Quillon",0.991394234367032,0.00860576563296808,0.0086523710451696,0.0086523710451696
"Quillota",0.950683369364317,0.0493166306356827,0.0219805900175269,0.0219805900175269
"Quilpue",0.0901951339761976,0.909804866023802,0.0215234581477442,0.0215234581477442
"Quinta Normal",0.666934821311312,0.333065178688688,0.0441373121552098,0.0441373121552098
"Quirihue",0.968759917083133,0.0312400829168673,0.0251125962402604,0.0251125962402604
"Rancagua",0.870942213406929,0.129057786593071,0.0289338384354147,0.0289338384354147
"Recoleta",0.747494290098385,0.252505709901615,0.0453079477025536,0.0453079477025536
"Renca",0.926259774197477,0.0737402258025234,0.0250591953941746,0.0250591953941746
"Rengo",0.968331438153687,0.0316685618463132,0.0118882454225489,0.0118882454225489
"Rio Bueno",0.989904521569565,0.0100954784304354,0.00973226630488952,0.00973226630488952
"San Antonio",0.68755854502505,0.31244145497495,0.0667904827666487,0.0667904827666487
"San Bernardo",0.828275869500785,0.171724130499215,0.0389225306713739,0.0389225306713739
"San Carlos",0.976186080355364,0.0238139196446364,0.0100181765494987,0.0100181765494987
"San Felipe",0.916097319019982,0.0839026809800185,0.0275134534097237,0.0275134534097237
"San Fernando",0.965306218731486,0.0346937812685141,0.0122451425127107,0.0122451425127107
"San Javier",0.989350897052415,0.0106491029475849,0.00527708199082156,0.00527708199082156
"San Joaquin",0.808841880567478,0.191158119432522,0.0605749154113704,0.0605749154113704
"San Miguel",0.251969001339906,0.748030998660094,0.0388119340029404,0.0388119340029404
"San Pedro de la Paz",0.751959879183633,0.248040120816367,0.0400900601106938,0.0400900601106938
"San Ramon",0.973168765122305,0.0268312348776946,0.0122524714900259,0.0122524714900259
"San Vicente",0.974099814949401,0.025900185050599,0.0148982755780077,0.0148982755780077
"Santa Cruz",0.97807409789785,0.0219259021021498,0.0139142209059014,0.0139142209059014
"Santiago",0.202178698385204,0.797821301614796,0.0219186940824844,0.0219186940824844
"Talagante",0.934750094479478,0.065249905520522,0.022071450709349,0.022071450709349
"Talca",0.912336022988752,0.0876639770112476,0.0193894549246793,0.0193894549246793
"Talcahuano",0.899212529683119,0.100787470316881,0.0308342831826711,0.0308342831826711
"Temuco",0.825362577749286,0.174637422250714,0.0292873349810428,0.0292873349810428
"Tocopilla",0.973535112915945,0.0264648870840551,0.0229182872922986,0.0229182872922986
"Tome",0.935926078504363,0.0640739214956371,0.0180247119277238,0.0180247119277238
"Valdivia",0.897150588886805,0.102849411113195,0.022970173103016,0.022970173103016
"Vallenar",0.973428396709458,0.0265716032905421,0.017098463882547,0.017098463882547
"Valparaiso",0.370252008783301,0.629747991216699,0.0349986869497317,0.0349986869497317
"Victoria",0.940846967648609,0.0591530323513914,0.026307884801153,0.026307884801153
"Vilcun",0.981282442719438,0.018717557280562,0.0143433926799046,0.0143433926799046
"Villa Alemana",0.817793847555947,0.182206152444053,0.0293217539564711,0.0293217539564711
"Villarrica",0.65853926882128,0.34146073117872,0.0730615618090852,0.0730615618090852
"Vina del Mar",0.593508880971593,0.406491119028407,0.0350276007367808,0.0350276007367808
"Vitacura",0.366125642167431,0.633874357832569,0.0545673052649243,0.0545673052649243
"Yungay",0.958501936605148,0.0414980633948518,0.0174151918077029,0.0174151918077029
