"comuna","si_presencia_balacerasFALSE","si_presencia_balacerasTRUE","se.si_presencia_balacerasFALSE","se.si_presencia_balacerasTRUE"
"Collipulli",0.407723657867372,0.592276342132628,0.0542881084273811,0.0542881084273811
"Concepcion",0.650578584879832,0.349421415120168,0.0239421996726208,0.0239421996726208
"Conchali",0.340757374108026,0.659242625891974,0.0236128208035463,0.0236128208035463
"Concon",0.730948027357575,0.269051972642425,0.0305130993508983,0.0305130993508983
"Constitucion",0.742396596926923,0.257603403073077,0.0380675274494159,0.0380675274494159
"Copiapo",0.651153543706736,0.348846456293264,0.0285529368513425,0.0285529368513425
"Coquimbo",0.728111443050089,0.271888556949911,0.0295608307852143,0.0295608307852143
"Coronel",0.518844306643244,0.481155693356756,0.0296984520558971,0.0296984520558971
"Curico",0.731710471944427,0.268289528055573,0.0221239057878976,0.0221239057878976
"Donihue",0.888157699021082,0.111842300978918,0.0395972683796331,0.0395972683796331
"El Bosque",0.317846877529981,0.682153122470019,0.0438116072080383,0.0438116072080383
"Estacion Central",0.440155270270487,0.559844729729513,0.036459131970752,0.036459131970752
"Graneros",0.608965251846245,0.391034748153755,0.0534131607460327,0.0534131607460327
"Hualpen",0.563753485482465,0.436246514517535,0.0402481486004958,0.0402481486004958
"Huechuraba",0.578636232472089,0.421363767527911,0.0598339351708211,0.0598339351708211
"Illapel",0.705601517243031,0.294398482756969,0.041338131048162,0.041338131048162
"Independencia",0.621222890315666,0.378777109684334,0.0489833663367529,0.0489833663367529
"Iquique",0.745254556520433,0.254745443479567,0.0209382527259774,0.0209382527259774
"La Cisterna",0.579509493561151,0.420490506438849,0.0402703905382315,0.0402703905382315
"La Florida",0.57220576657384,0.42779423342616,0.0271105181458086,0.0271105181458086
"La Granja",0.27464900871689,0.72535099128311,0.0269224083497453,0.0269224083497453
"La Ligua",0.794816076916638,0.205183923083362,0.0316216535670856,0.0316216535670856
"La Pintana",0.173165888210066,0.826834111789934,0.0380157344430915,0.0380157344430915
"La Reina",0.748932630627992,0.251067369372008,0.0380530549825306,0.0380530549825306
"La Serena",0.664873193789962,0.335126806210038,0.0277607256479287,0.0277607256479287
"La Union",0.748491395017402,0.251508604982598,0.0394935813323634,0.0394935813323634
"Lampa",0.600566341180058,0.399433658819941,0.0339969333120529,0.0339969333120529
"Las Condes",0.923711737464181,0.0762882625358191,0.0132636714259024,0.0132636714259024
"Lautaro",0.765695619780062,0.234304380219938,0.0445833361804035,0.0445833361804036
"Lebu",0.732979717266196,0.267020282733804,0.0327713438301925,0.0327713438301925
"Limache",0.733121822819943,0.266878177180057,0.0356789465604942,0.0356789465604942
"Linares",0.738494814735921,0.261505185264079,0.0300935218945066,0.0300935218945066
"Lo Barnechea",0.818747198862735,0.181252801137265,0.0395563736405156,0.0395563736405156
"Lo Espejo",0.256393384004957,0.743606615995043,0.0301088154653901,0.0301088154653901
"Lo Prado",0.423930185387787,0.576069814612213,0.0416638628351189,0.0416638628351189
"Loncoche",0.832616781908154,0.167383218091846,0.033359366520198,0.033359366520198
"Los Andes",0.762110858709327,0.237889141290673,0.0301429115353162,0.0301429115353162
"Los Angeles",0.521270675576038,0.478729324423962,0.0332263230994868,0.0332263230994868
"Los Vilos",0.708197792410234,0.291802207589766,0.0430241293977213,0.0430241293977213
"Lota",0.462637809026496,0.537362190973504,0.0361616302562563,0.0361616302562563
"Machali",0.78592583029088,0.21407416970912,0.0297215880564165,0.0297215880564165
"Macul",0.505655847272338,0.494344152727662,0.0339465115250684,0.0339465115250684
"Maipu",0.559742128173452,0.440257871826548,0.026982712343776,0.026982712343776
"Maule",0.666801887518445,0.333198112481555,0.0384094116585206,0.0384094116585206
"Melipilla",0.556810767137562,0.443189232862438,0.0420573534925693,0.0420573534925693
"Molina",0.820293277055661,0.179706722944338,0.0267381356420209,0.0267381356420209
"Mostazal",0.625597978487561,0.374402021512439,0.0405211304781669,0.040521130478167
"Natales",0.980287536254851,0.0197124637451489,0.00727123066341381,0.00727123066341381
"Nueva Imperial",0.563695148930915,0.436304851069085,0.0531021670851884,0.0531021670851884
"Nunoa",0.808795544230744,0.191204455769256,0.0310362294706848,0.0310362294706848
"Osorno",0.663261149935092,0.336738850064908,0.0333351136154546,0.0333351136154546
"Ovalle",0.602767865941043,0.397232134058957,0.0316349503912644,0.0316349503912644
"Padre Hurtado",0.583387731834834,0.416612268165166,0.0416106033068723,0.0416106033068723
"Padre Las Casas",0.636479268228067,0.363520731771933,0.0394645175690511,0.0394645175690511
"Paillaco",0.851193891666554,0.148806108333447,0.0241833418497246,0.0241833418497246
"Paine",0.661089407271096,0.338910592728904,0.038805305560303,0.038805305560303
"Panguipulli",0.736414766972716,0.263585233027284,0.0439611666297261,0.0439611666297261
"Parral",0.733318251504747,0.266681748495253,0.0457518528411204,0.0457518528411204
"Pedro Aguirre Cerda",0.444424851658959,0.555575148341041,0.0372920835123608,0.0372920835123608
"Penaflor",0.534426860503002,0.465573139496998,0.037225190079244,0.037225190079244
"Penalolen",0.482977625989258,0.517022374010742,0.0359286208566736,0.0359286208566736
"Penco",0.672534276663126,0.327465723336874,0.0290978898527773,0.0290978898527773
"Pichilemu",0.880289055716078,0.119710944283922,0.0305608184033993,0.0305608184033993
"Pitrufquen",0.682377661705635,0.317622338294365,0.0584239334715155,0.0584239334715155
"Pozo Almonte",0.797405315532643,0.202594684467357,0.0363569595251532,0.0363569595251532
"Providencia",0.958080227437284,0.0419197725627158,0.00950681851364646,0.00950681851364647
"Pucon",0.674072702793918,0.325927297206082,0.0490654729841819,0.0490654729841819
"Pudahuel",0.482189470743184,0.517810529256816,0.0360928048238491,0.0360928048238491
"Puente Alto",0.569851309496835,0.430148690503165,0.0277851858620739,0.0277851858620739
"Puerto Montt",0.619803391746151,0.380196608253849,0.0308131832520677,0.0308131832520677
"Puerto Varas",0.886114048695238,0.113885951304762,0.0297375131791719,0.0297375131791719
"Punta Arenas",0.933769952880922,0.0662300471190777,0.00948119594763647,0.00948119594763647
"Quellon",0.773791964170952,0.226208035829048,0.0422330503756723,0.0422330503756723
"Quilicura",0.436965661363202,0.563034338636798,0.0375448644476321,0.0375448644476321
"Quillon",0.787393023747475,0.212606976252525,0.0419374424569761,0.0419374424569761
"Quillota",0.633085248846231,0.366914751153769,0.0381708974458636,0.0381708974458636
"Quilpue",0.573790024861343,0.426209975138657,0.028052675998186,0.028052675998186
"Quinta Normal",0.565350688915957,0.434649311084043,0.0304884764094533,0.0304884764094533
"Quirihue",0.866765329068375,0.133234670931625,0.0278723633285923,0.0278723633285923
"Rancagua",0.674498491455672,0.325501508544328,0.0296444682070668,0.0296444682070668
"Recoleta",0.376877399378399,0.623122600621601,0.0267219766877039,0.0267219766877039
"Renca",0.453086330261339,0.546913669738661,0.0349427541209098,0.0349427541209098
"Rengo",0.801365108799094,0.198634891200906,0.0295712409689045,0.0295712409689045
"Rio Bueno",0.764379970352624,0.235620029647376,0.0314722100406925,0.0314722100406925
"San Antonio",0.70950721397052,0.29049278602948,0.0397938434298621,0.0397938434298621
"San Bernardo",0.372641820501978,0.627358179498022,0.0367506827579133,0.0367506827579133
"San Carlos",0.812287341957161,0.187712658042839,0.0302007563482258,0.0302007563482258
"San Felipe",0.742672550010226,0.257327449989774,0.0282009094173556,0.0282009094173556
"San Fernando",0.716335185029604,0.283664814970396,0.0373027584773263,0.0373027584773263
"San Javier",0.717115607418631,0.282884392581369,0.0408877215736441,0.0408877215736441
"San Joaquin",0.37978663413751,0.62021336586249,0.0476968926144492,0.0476968926144492
"San Miguel",0.611315814195918,0.388684185804082,0.0297174423506539,0.0297174423506539
"San Pedro de la Paz",0.515065546135237,0.484934453864763,0.0377530694489983,0.0377530694489983
"San Ramon",0.328321860718134,0.671678139281866,0.0313431697288244,0.0313431697288244
