"comuna","confia_muchobastante_carabinerosFALSE","confia_muchobastante_carabinerosTRUE","se.confia_muchobastante_carabinerosFALSE","se.confia_muchobastante_carabinerosTRUE"
"Pedro Aguirre Cerda",0.828002913003596,0.171997086996404,0.0240749183043596,0.0240749183043596
"Penaflor",0.810574855331163,0.189425144668836,0.0248684850093291,0.0248684850093291
"Penalolen",0.791832073605059,0.208167926394941,0.0289832052046027,0.0289832052046027
"Penco",0.73604848648634,0.26395151351366,0.0213236214437209,0.0213236214437209
"Pichilemu",0.787270779643143,0.212729220356857,0.0368206898581992,0.0368206898581992
"Pitrufquen",0.725788539526305,0.274211460473695,0.0358374222909153,0.0358374222909153
"Pozo Almonte",0.806040811720876,0.193959188279124,0.0387881828529689,0.0387881828529689
"Providencia",0.691981449260061,0.308018550739939,0.0269326061006738,0.0269326061006738
"Pucon",0.864540234657559,0.135459765342441,0.0278008435677037,0.0278008435677037
"Pudahuel",0.823182588598837,0.176817411401163,0.0285803869407296,0.0285803869407296
"Puente Alto",0.856940729461017,0.143059270538983,0.0166550826149196,0.0166550826149196
"Puerto Montt",0.815358873732813,0.184641126267187,0.0231992758054372,0.0231992758054372
"Puerto Varas",0.759719357918081,0.240280642081919,0.0272003111808375,0.0272003111808375
"Punta Arenas",0.701041167607411,0.298958832392589,0.017634553066569,0.017634553066569
"Quellon",0.805148570739143,0.194851429260857,0.0265371696254707,0.0265371696254707
"Quilicura",0.854008149755168,0.145991850244832,0.0225685762218419,0.0225685762218419
"Quillon",0.808957043093943,0.191042956906057,0.0364563790218637,0.0364563790218637
"Quillota",0.75593229449639,0.24406770550361,0.0247587233907799,0.0247587233907799
"Quilpue",0.742234295255406,0.257765704744594,0.0196284479294442,0.0196284479294442
"Quinta Normal",0.805139433224453,0.194860566775547,0.0197993602016372,0.0197993602016372
"Quirihue",0.752689681805761,0.247310318194239,0.0314679385160317,0.0314679385160317
"Rancagua",0.784060102022334,0.215939897977666,0.0214828332333959,0.0214828332333959
"Recoleta",0.851310250170283,0.148689749829717,0.0159511873488492,0.0159511873488492
"Renca",0.897486039187148,0.102513960812852,0.0170907171048405,0.0170907171048405
"Rengo",0.845154607600283,0.154845392399717,0.0250368322208529,0.0250368322208529
"Rio Bueno",0.825062918892183,0.174937081107817,0.0197919239267191,0.0197919239267191
"San Antonio",0.848491516987045,0.151508483012955,0.0267909661096162,0.0267909661096162
"San Bernardo",0.844830661339799,0.155169338660201,0.0202635420934429,0.0202635420934429
"San Carlos",0.738002186969643,0.261997813030357,0.0343854098189337,0.0343854098189337
"San Felipe",0.822168531442701,0.177831468557299,0.0212721542629647,0.0212721542629647
"San Fernando",0.759829473903106,0.240170526096894,0.0243968162898086,0.0243968162898086
"San Javier",0.751528557451849,0.248471442548151,0.0271656810654748,0.0271656810654748
"San Joaquin",0.818254648673819,0.181745351326181,0.02911576306365,0.02911576306365
"San Miguel",0.746378789222655,0.253621210777345,0.0227217724432683,0.0227217724432683
"San Pedro de la Paz",0.786174405154795,0.213825594845205,0.0215178168649446,0.0215178168649446
"San Ramon",0.843340801085565,0.156659198914435,0.0195542430277405,0.0195542430277405
"San Vicente",0.78840557455454,0.21159442544546,0.0297269735169171,0.0297269735169171
"Santa Cruz",0.8049179475968,0.1950820524032,0.0299137400259821,0.0299137400259821
"Santiago",0.821503627043799,0.178496372956201,0.0136850832909046,0.0136850832909046
"Talagante",0.796606315949128,0.203393684050872,0.024938932212725,0.024938932212725
"Talca",0.767152952992433,0.232847047007567,0.0185047568604769,0.0185047568604769
"Talcahuano",0.746234396915681,0.253765603084319,0.0222676486390201,0.0222676486390201
"Temuco",0.764180223695025,0.235819776304975,0.0200519080715196,0.0200519080715196
"Tocopilla",0.772318480122751,0.227681519877249,0.0319687273593507,0.0319687273593507
"Tome",0.789511180054921,0.210488819945079,0.024372872986721,0.024372872986721
"Valdivia",0.734752943919901,0.265247056080099,0.0223601349833227,0.0223601349833227
"Vallenar",0.802478907112779,0.197521092887221,0.0293654672728727,0.0293654672728727
"Valparaiso",0.803751374028748,0.196248625971252,0.0168272297289925,0.0168272297289925
"Victoria",0.716126921253605,0.283873078746395,0.0336135521085105,0.0336135521085105
"Vilcun",0.8769963863834,0.1230036136166,0.02754060251261,0.02754060251261
"Villa Alemana",0.849425792907024,0.150574207092976,0.0163358017598822,0.0163358017598822
"Villarrica",0.792349667968413,0.207650332031587,0.034802969382476,0.034802969382476
"Vina del Mar",0.754014061415916,0.245985938584084,0.0165413870261259,0.0165413870261259
"Vitacura",0.833245084654896,0.166754915345104,0.0318689697163009,0.0318689697163009
"Yungay",0.763919681994696,0.236080318005303,0.0381657420962755,0.0381657420962755
