"comuna","confia_muchobastante_policiasFALSE","confia_muchobastante_policiasTRUE","se.confia_muchobastante_policiasFALSE","se.confia_muchobastante_policiasTRUE"
"Curico",0.742725983530046,0.257274016469954,0.0162789249538623,0.0162789249538623
"Donihue",0.479827222415157,0.520172777584843,0.0347078713712176,0.0347078713712176
"El Bosque",0.79713143036783,0.20286856963217,0.0306261221849236,0.0306261221849237
"Estacion Central",0.737198694224508,0.262801305775492,0.028604901605166,0.028604901605166
"Graneros",0.836377587283835,0.163622412716165,0.0305729987884603,0.0305729987884603
"Hualpen",0.667119340888577,0.332880659111423,0.0300134815734857,0.0300134815734857
"Huechuraba",0.850747128359072,0.149252871640928,0.033160891221313,0.033160891221313
"Illapel",0.711036469523993,0.288963530476007,0.0272535524281765,0.0272535524281765
"Independencia",0.695596655731728,0.304403344268272,0.0418488446755178,0.0418488446755178
"Iquique",0.674191661715068,0.325808338284932,0.022377501137429,0.022377501137429
"La Cisterna",0.76579402997618,0.23420597002382,0.0323573450689559,0.0323573450689559
"La Florida",0.777051405650534,0.222948594349466,0.0211155048293837,0.0211155048293837
"La Granja",0.804456158656289,0.195543841343711,0.0242131547686783,0.0242131547686783
"La Ligua",0.597441953584752,0.402558046415248,0.0310113045580267,0.0310113045580267
"La Pintana",0.844462843639949,0.155537156360051,0.029706427347214,0.029706427347214
"La Reina",0.64760804410809,0.35239195589191,0.0305953444886304,0.0305953444886304
"La Serena",0.585451049723564,0.414548950276436,0.0239842752166624,0.0239842752166624
"La Union",0.584120501677747,0.415879498322253,0.0245113415142159,0.0245113415142159
"Lampa",0.804117042193189,0.195882957806811,0.0233252899689937,0.0233252899689937
"Las Condes",0.564792115342918,0.435207884657082,0.0262175488551206,0.0262175488551206
"Lautaro",0.602005658459206,0.397994341540795,0.0356747970658621,0.0356747970658621
"Lebu",0.677226475832055,0.322773524167945,0.0278136509315802,0.0278136509315802
"Limache",0.702408865300618,0.297591134699382,0.0277731108021156,0.0277731108021156
"Linares",0.741895797916848,0.258104202083152,0.019430779651696,0.019430779651696
"Lo Barnechea",0.637644515136725,0.362355484863275,0.0350386317085045,0.0350386317085045
"Lo Espejo",0.830488063241948,0.169511936758052,0.0232213275452374,0.0232213275452374
"Lo Prado",0.750663741805199,0.249336258194801,0.0331177155151095,0.0331177155151095
"Loncoche",0.712724914513897,0.287275085486103,0.0322548044153223,0.0322548044153223
"Los Andes",0.726308008304927,0.273691991695073,0.023978020874692,0.023978020874692
"Los Angeles",0.710003846850893,0.289996153149107,0.0289998225076744,0.0289998225076744
"Los Vilos",0.703571468622939,0.296428531377061,0.0264494806720272,0.0264494806720272
"Lota",0.71675328728775,0.28324671271225,0.0305549978092186,0.0305549978092186
"Machali",0.67868731260133,0.32131268739867,0.0273169332752217,0.0273169332752217
"Macul",0.758743805356537,0.241256194643463,0.0243017237654093,0.0243017237654093
"Maipu",0.806452143312803,0.193547856687197,0.0214894453833446,0.0214894453833446
"Maule",0.684800120234634,0.315199879765366,0.0329064881064335,0.0329064881064336
"Melipilla",0.750167455440739,0.249832544559261,0.0250145343128578,0.0250145343128578
"Molina",0.718285223752668,0.281714776247332,0.0355636123127579,0.0355636123127579
"Mostazal",0.634480676662295,0.365519323337705,0.0501894048129742,0.0501894048129742
"Natales",0.551627799334596,0.448372200665404,0.0241433282324935,0.0241433282324934
"Nueva Imperial",0.712985431972687,0.287014568027313,0.0537508459786898,0.0537508459786898
"Nunoa",0.652487291982849,0.347512708017151,0.0265926031700381,0.0265926031700381
"Osorno",0.673112841117982,0.326887158882018,0.0259530009376988,0.0259530009376988
"Ovalle",0.727239459910661,0.272760540089339,0.0238913258155286,0.0238913258155286
"Padre Hurtado",0.903603004919143,0.0963969950808565,0.015547796185956,0.015547796185956
"Padre Las Casas",0.697152255543535,0.302847744456465,0.0308633468642537,0.0308633468642537
"Paillaco",0.704319030239005,0.295680969760995,0.0379911700851133,0.0379911700851133
"Paine",0.715042555264664,0.284957444735336,0.0263832368420451,0.0263832368420451
"Panguipulli",0.495502700613282,0.504497299386718,0.0384104712848423,0.0384104712848423
"Parral",0.730035810757406,0.269964189242594,0.0354315276775013,0.0354315276775013
"Pedro Aguirre Cerda",0.696689221189128,0.303310778810872,0.0315989676046766,0.0315989676046766
"Penaflor",0.722354515384028,0.277645484615972,0.0294238558506492,0.0294238558506492
"Penalolen",0.628316286593087,0.371683713406913,0.0330153452490608,0.0330153452490608
"Penco",0.624742342021142,0.375257657978859,0.0276342352872284,0.0276342352872284
"Pichilemu",0.751031870306471,0.248968129693529,0.0304211478017654,0.0304211478017654
"Pitrufquen",0.639531207888,0.360468792112,0.0379762805937905,0.0379762805937905
"Pozo Almonte",0.750026612053454,0.249973387946546,0.0489037526837385,0.0489037526837385
"Providencia",0.608734774005116,0.391265225994885,0.0262334419902696,0.0262334419902696
"Pucon",0.824190994203021,0.175809005796979,0.0321347865263293,0.0321347865263293
"Pudahuel",0.772042876504039,0.227957123495961,0.0335561956848258,0.0335561956848258
"Puente Alto",0.80684029499722,0.19315970500278,0.019391567092209,0.019391567092209
"Puerto Montt",0.697725871624664,0.302274128375336,0.0242069833125,0.0242069833125
"Puerto Varas",0.703742718017739,0.296257281982261,0.0299485550994957,0.0299485550994957
"Punta Arenas",0.59890105517992,0.40109894482008,0.0182557207005867,0.0182557207005867
"Quellon",0.714143383901249,0.285856616098751,0.0386221925579677,0.0386221925579677
"Quilicura",0.723083868965303,0.276916131034698,0.0264137467671572,0.0264137467671572
"Quillon",0.749065784944446,0.250934215055554,0.0316972440376214,0.0316972440376214
"Quillota",0.640475153903284,0.359524846096716,0.0276302105014023,0.0276302105014023
"Quilpue",0.603334963087107,0.396665036912893,0.0233269051168751,0.0233269051168751
"Quinta Normal",0.682116183391148,0.317883816608852,0.0289354268428146,0.0289354268428146
"Quirihue",0.715738120235085,0.284261879764915,0.0280813216136677,0.0280813216136677
"Rancagua",0.671936713118729,0.328063286881271,0.0286427515870337,0.0286427515870337
"Recoleta",0.758699613997304,0.241300386002696,0.0235629127461979,0.0235629127461979
"Renca",0.826388873834271,0.173611126165729,0.0240560684332978,0.0240560684332978
"Rengo",0.768246567108288,0.231753432891712,0.0280202790807808,0.0280202790807808
"Rio Bueno",0.798640650040156,0.201359349959844,0.0228706386572079,0.0228706386572079
"San Antonio",0.790299471357321,0.209700528642679,0.0308583471608895,0.0308583471608895
"San Bernardo",0.769304191104646,0.230695808895354,0.02368548317574,0.02368548317574
"San Carlos",0.654644375932877,0.345355624067123,0.0312856017140583,0.0312856017140583
"San Felipe",0.741964272901318,0.258035727098682,0.0236598794703384,0.0236598794703384
