"comuna","si_arma_en_casaFALSE","si_arma_en_casaTRUE","se.si_arma_en_casaFALSE","se.si_arma_en_casaTRUE"
"Hualpen",0.971696952965015,0.0283030470349849,0.00865697609572863,0.00865697609572863
"Huechuraba",0.936247907546286,0.0637520924537137,0.0219801387718155,0.0219801387718155
"Illapel",0.945748985886986,0.0542510141130136,0.0156451852383717,0.0156451852383717
"Independencia",0.992851712229031,0.00714828777096898,0.0060761307266811,0.0060761307266811
"Iquique",0.976456911248338,0.0235430887516618,0.00584691129569755,0.00584691129569755
"La Cisterna",0.962517548684991,0.0374824513150092,0.0136777357454376,0.0136777357454376
"La Florida",0.961266992945191,0.0387330070548092,0.00955244899516591,0.00955244899516591
"La Granja",0.971809517828765,0.0281904821712347,0.0123796492256283,0.0123796492256283
"La Ligua",0.948973899381887,0.0510261006181132,0.016486429856212,0.016486429856212
"La Pintana",0.990377541189997,0.00962245881000339,0.00956841349130514,0.00956841349130514
"La Reina",0.938682817296202,0.0613171827037979,0.0174313013198401,0.0174313013198401
"La Serena",0.972899342944055,0.0271006570559446,0.00828281096637603,0.00828281096637603
"La Union",0.970854057941931,0.029145942058069,0.0112941445821922,0.0112941445821922
"Lampa",0.966849414137314,0.0331505858626864,0.0109279168581238,0.0109279168581238
"Las Condes",0.929644566671017,0.0703554333289833,0.0134858451481906,0.0134858451481906
"Lautaro",0.962146387847343,0.0378536121526571,0.0148047735496574,0.0148047735496574
"Lebu",0.925549801310065,0.0744501986899355,0.0155131083012334,0.0155131083012334
"Limache",0.93670299478113,0.0632970052188704,0.0149105322293718,0.0149105322293718
"Linares",0.954561397529938,0.0454386024700616,0.0113997385372001,0.0113997385372001
"Lo Barnechea",0.933134939375932,0.0668650606240681,0.0225676687868251,0.0225676687868251
"Lo Espejo",0.969758775378826,0.0302412246211743,0.00955179000103528,0.00955179000103528
"Lo Prado",0.965054207716433,0.0349457922835672,0.0118613127440246,0.0118613127440246
"Loncoche",0.957662541307681,0.0423374586923187,0.01982649064835,0.01982649064835
"Los Andes",0.945691828098306,0.0543081719016944,0.0118125032763128,0.0118125032763128
"Los Angeles",0.951144904296155,0.0488550957038446,0.0110017098085859,0.0110017098085859
"Los Vilos",0.952066030947255,0.0479339690527449,0.0149849140559771,0.0149849140559771
"Lota",0.968313015464054,0.0316869845359462,0.00950044764466122,0.00950044764466121
"Machali",0.941585519592669,0.0584144804073311,0.0124573299492943,0.0124573299492943
"Macul",0.974451424144601,0.0255485758553989,0.00992759861226183,0.00992759861226183
"Maipu",0.975850967110268,0.0241490328897319,0.00672527590497686,0.00672527590497686
"Maule",0.940127508188241,0.059872491811759,0.0132147500023358,0.0132147500023358
"Melipilla",0.949871827317064,0.0501281726829356,0.0159483388022983,0.0159483388022983
"Molina",0.955717580353373,0.0442824196466272,0.0121843743512728,0.0121843743512728
"Mostazal",0.943303856719775,0.0566961432802254,0.0138666081242985,0.0138666081242985
"Natales",0.952078625628186,0.0479213743718135,0.0109276883130397,0.0109276883130397
"Nueva Imperial",0.947863946213161,0.0521360537868392,0.0236626465683863,0.0236626465683863
"Nunoa",0.967918566536688,0.0320814334633125,0.00863275168533587,0.00863275168533587
"Osorno",0.970312410075948,0.0296875899240518,0.00836360494886756,0.00836360494886756
"Ovalle",0.962843491807949,0.0371565081920514,0.00969609785743154,0.00969609785743153
"Padre Hurtado",0.960466651240352,0.039533348759648,0.0151117476946523,0.0151117476946523
"Padre Las Casas",0.967059623960253,0.0329403760397466,0.0132319388201601,0.0132319388201601
"Paillaco",0.954643432366162,0.0453565676338378,0.0198193646102231,0.0198193646102231
"Paine",0.978518661185462,0.0214813388145375,0.0112609326233683,0.0112609326233683
"Panguipulli",0.951512537573425,0.048487462426575,0.0181154065042208,0.0181154065042208
"Parral",0.951039956705333,0.0489600432946673,0.0117504427197513,0.0117504427197513
"Pedro Aguirre Cerda",0.981098847705491,0.0189011522945094,0.00783014729023486,0.00783014729023487
"Penaflor",0.971221704471899,0.0287782955281005,0.00878500487075738,0.00878500487075739
"Penalolen",0.973747176169235,0.0262528238307651,0.00921223684673544,0.00921223684673544
"Penco",0.939293733620734,0.0607062663792658,0.0106415821514707,0.0106415821514707
"Pichilemu",0.9102438997701,0.0897561002299005,0.0256547297091587,0.0256547297091587
"Pitrufquen",0.970893964607497,0.0291060353925026,0.0146210374855688,0.0146210374855688
"Pozo Almonte",0.987037181605497,0.0129628183945028,0.00902075379145531,0.00902075379145531
"Providencia",0.963713236139925,0.036286763860075,0.00899708498450457,0.00899708498450457
"Pucon",0.911497103926374,0.0885028960736258,0.0455164113599235,0.0455164113599235
"Pudahuel",0.968518142811557,0.0314818571884432,0.0126722395849759,0.0126722395849759
"Puente Alto",0.98150322587011,0.0184967741298903,0.00702706193661755,0.00702706193661755
"Puerto Montt",0.96068166149012,0.0393183385098797,0.0092324977357906,0.0092324977357906
"Puerto Varas",0.965264119458152,0.0347358805418483,0.0114203465828607,0.0114203465828607
"Punta Arenas",0.951066130298453,0.0489338697015469,0.0101059411587468,0.0101059411587468
"Quellon",0.988224959304953,0.0117750406950475,0.00834095942371478,0.00834095942371478
"Quilicura",0.976857468464961,0.0231425315350393,0.00967171450552698,0.00967171450552698
"Quillon",0.970626835587671,0.0293731644123292,0.0141721235184308,0.0141721235184308
"Quillota",0.951947737752605,0.0480522622473953,0.0119480973385438,0.0119480973385438
"Quilpue",0.969578010143861,0.0304219898561392,0.00660497285266735,0.00660497285266735
"Quinta Normal",0.979231953627742,0.0207680463722583,0.00754946829114955,0.00754946829114955
"Quirihue",0.96333240086632,0.03666759913368,0.0137577342409995,0.0137577342409995
"Rancagua",0.973476938993442,0.0265230610065577,0.0071161559735072,0.0071161559735072
"Recoleta",0.966614192643876,0.0333858073561241,0.0102903344422456,0.0102903344422456
"Renca",0.97470246424168,0.0252975357583196,0.00945577124031594,0.00945577124031594
"Rengo",0.955677503413505,0.0443224965864951,0.0139914794834882,0.0139914794834882
"Rio Bueno",0.978178868187526,0.0218211318124742,0.0110446582979136,0.0110446582979136
"San Antonio",0.971612263971284,0.0283877360287157,0.0130268302455972,0.0130268302455972
"San Bernardo",0.966451837822091,0.0335481621779089,0.00999675539382532,0.00999675539382532
