"comuna","si_presencia_pandillasFALSE","si_presencia_pandillasTRUE","se.si_presencia_pandillasFALSE","se.si_presencia_pandillasTRUE"
"Coronel",0.77789792823174,0.22210207176826,0.0283682670802989,0.0283682670802989
"Curico",0.828940616746072,0.171059383253928,0.0159593023233522,0.0159593023233522
"Donihue",0.913937428212111,0.0860625717878895,0.0378517117142172,0.0378517117142172
"El Bosque",0.697765856764772,0.302234143235229,0.045727403605475,0.045727403605475
"Estacion Central",0.68063249030658,0.31936750969342,0.0335101007779212,0.0335101007779212
"Graneros",0.690498630277466,0.309501369722534,0.0370560608764805,0.0370560608764805
"Hualpen",0.804679588878217,0.195320411121783,0.0260523733755864,0.0260523733755864
"Huechuraba",0.737439017440292,0.262560982559708,0.0463430768132656,0.0463430768132656
"Illapel",0.809065543931917,0.190934456068083,0.0233474338664748,0.0233474338664748
"Independencia",0.530946465007343,0.469053534992657,0.0468980119316597,0.0468980119316597
"Iquique",0.740450827173924,0.259549172826076,0.0206138088840112,0.0206138088840112
"La Cisterna",0.757702048808958,0.242297951191042,0.0297616201239344,0.0297616201239344
"La Florida",0.761741262474999,0.238258737525001,0.0247456160310883,0.0247456160310883
"La Granja",0.643450546560923,0.356549453439077,0.0338002675252189,0.0338002675252189
"La Ligua",0.836017277715984,0.163982722284016,0.0259158558366525,0.0259158558366525
"La Pintana",0.50377386194606,0.49622613805394,0.0397143456456753,0.0397143456456753
"La Reina",0.861437385055859,0.138562614944141,0.0289568817369879,0.0289568817369879
"La Serena",0.855088377954055,0.144911622045945,0.0172673249910696,0.0172673249910696
"La Union",0.863415034225233,0.136584965774768,0.0163474547757904,0.0163474547757904
"Lampa",0.731039085391078,0.268960914608923,0.0273659966784285,0.0273659966784285
"Las Condes",0.883806106640666,0.116193893359334,0.0174682834706843,0.0174682834706843
"Lautaro",0.864377471241993,0.135622528758007,0.0313261116469547,0.0313261116469547
"Lebu",0.830633684646064,0.169366315353936,0.0259858886833237,0.0259858886833237
"Limache",0.836983906755053,0.163016093244947,0.0297172505647024,0.0297172505647024
"Linares",0.864735189335108,0.135264810664892,0.0183000821784586,0.0183000821784586
"Lo Barnechea",0.855518574750299,0.144481425249701,0.0301360077764696,0.0301360077764696
"Lo Espejo",0.644936963483123,0.355063036516877,0.0280784036397597,0.0280784036397597
"Lo Prado",0.690192327569165,0.309807672430835,0.0450970854847259,0.0450970854847259
"Loncoche",0.857732216302524,0.142267783697476,0.0360109076170866,0.0360109076170866
"Los Andes",0.769066231016936,0.230933768983064,0.0354208170833931,0.0354208170833931
"Los Angeles",0.821465460223359,0.178534539776641,0.0247389772808078,0.0247389772808078
"Los Vilos",0.791893465699651,0.208106534300349,0.0424693825624871,0.0424693825624871
"Lota",0.766051035282105,0.233948964717895,0.029319217371006,0.029319217371006
"Machali",0.807649826563758,0.192350173436242,0.0263646210378109,0.0263646210378109
"Macul",0.733165674522698,0.266834325477302,0.0262143200971994,0.0262143200971994
"Maipu",0.801304454100944,0.198695545899056,0.0212683520102467,0.0212683520102467
"Maule",0.813454016396404,0.186545983603596,0.0241584582980488,0.0241584582980488
"Melipilla",0.672640650735598,0.327359349264402,0.0407056631056271,0.0407056631056271
"Molina",0.841402675511648,0.158597324488352,0.0310207940574551,0.0310207940574551
"Mostazal",0.803388590370479,0.196611409629521,0.0385033224409405,0.0385033224409405
"Natales",0.905549526513449,0.0944504734865507,0.0200375290443819,0.0200375290443819
"Nueva Imperial",0.809764007272917,0.190235992727083,0.0393581797765685,0.0393581797765685
"Nunoa",0.829513035549909,0.170486964450091,0.025164398486109,0.025164398486109
"Osorno",0.891743828059851,0.10825617194015,0.0192884064407779,0.0192884064407779
"Ovalle",0.763336310024928,0.236663689975072,0.0256032646997883,0.0256032646997883
"Padre Hurtado",0.67893952386861,0.32106047613139,0.0401934475762963,0.0401934475762963
"Padre Las Casas",0.781370138820764,0.218629861179236,0.0349664118680945,0.0349664118680945
"Paillaco",0.787208865162531,0.212791134837469,0.0388504961422581,0.0388504961422581
"Paine",0.762115757831086,0.237884242168914,0.0299443258866977,0.0299443258866977
"Panguipulli",0.871557878655642,0.128442121344358,0.0238757879264456,0.0238757879264456
"Parral",0.883757023056033,0.116242976943967,0.0221106181003466,0.0221106181003466
"Pedro Aguirre Cerda",0.734408202052993,0.265591797947007,0.0275924827631094,0.0275924827631094
"Penaflor",0.693347177871508,0.306652822128492,0.0318856484767527,0.0318856484767527
"Penalolen",0.663134274856857,0.336865725143143,0.036353341997844,0.036353341997844
"Penco",0.814754497494476,0.185245502505524,0.0222581345483776,0.0222581345483776
"Pichilemu",0.824016565583417,0.175983434416583,0.0330948104059884,0.0330948104059884
"Pitrufquen",0.822947466041684,0.177052533958316,0.0349948192245109,0.0349948192245109
"Pozo Almonte",0.765454015610597,0.234545984389403,0.0327041892777333,0.0327041892777333
"Providencia",0.914354837224095,0.0856451627759053,0.0131140378618395,0.0131140378618395
"Pucon",0.883852104174205,0.116147895825795,0.0204044026808864,0.0204044026808864
"Pudahuel",0.727350006281886,0.272649993718114,0.030960788231529,0.030960788231529
"Puente Alto",0.753325771228935,0.246674228771066,0.0219013969785788,0.0219013969785788
"Puerto Montt",0.829396411780141,0.170603588219859,0.0199902160879727,0.0199902160879727
"Puerto Varas",0.839473313086362,0.160526686913638,0.0307375474105161,0.0307375474105161
"Punta Arenas",0.9217250065866,0.0782749934134004,0.0116270851990769,0.0116270851990769
"Quellon",0.791703486562468,0.208296513437532,0.0359875666409527,0.0359875666409527
"Quilicura",0.710478252088062,0.289521747911938,0.0277852104738186,0.0277852104738186
"Quillon",0.859840142547223,0.140159857452777,0.029313716951544,0.029313716951544
"Quillota",0.762250491505895,0.237749508494105,0.0286079325025907,0.0286079325025907
"Quilpue",0.786955847475,0.213044152525,0.0230570206283893,0.0230570206283893
"Quinta Normal",0.567449612127989,0.432550387872011,0.0299202539260857,0.0299202539260857
"Quirihue",0.901769468802648,0.0982305311973525,0.0288627459220348,0.0288627459220348
"Rancagua",0.801585956384933,0.198414043615067,0.0242236523529675,0.0242236523529675
"Recoleta",0.599068360184238,0.400931639815762,0.0273261069183894,0.0273261069183894
"Renca",0.743960487350181,0.256039512649819,0.027949586154719,0.027949586154719
"Rengo",0.813434646897206,0.186565353102794,0.0241272249457047,0.0241272249457047
"Rio Bueno",0.929312183573848,0.0706878164261518,0.0178603004566527,0.0178603004566527
"San Antonio",0.780545468901379,0.219454531098621,0.0275267773985652,0.0275267773985652
"San Bernardo",0.597219076958224,0.402780923041776,0.0350656172441362,0.0350656172441362
"San Carlos",0.894545997108166,0.105454002891834,0.0216193289272487,0.0216193289272487
"San Felipe",0.803993070389973,0.196006929610027,0.0255544741906412,0.0255544741906412
"San Fernando",0.814011710440955,0.185988289559045,0.0275308435883824,0.0275308435883824
"San Javier",0.787869790545537,0.212130209454463,0.0369904569480155,0.0369904569480155
"San Joaquin",0.670494989410409,0.329505010589591,0.0406409974660291,0.0406409974660291
"San Miguel",0.763491617956939,0.236508382043061,0.0230010756820735,0.0230010756820735
"San Pedro de la Paz",0.760124592987933,0.239875407012067,0.0286075195143803,0.0286075195143803
