"comuna","si_presencia_balacerasFALSE","si_presencia_balacerasTRUE","se.si_presencia_balacerasFALSE","se.si_presencia_balacerasTRUE"
"Lota",0.45968769264648,0.54031230735352,0.0386477998838983,0.0386477998838983
"Machali",0.778852256225979,0.221147743774021,0.0307855846651867,0.0307855846651867
"Macul",0.499149817863215,0.500850182136785,0.0368219548733163,0.0368219548733163
"Maipu",0.558393537297231,0.441606462702769,0.0278636873078378,0.0278636873078378
"Maule",0.682660071733329,0.317339928266671,0.0335654280365715,0.0335654280365715
"Melipilla",0.562604139058435,0.437395860941565,0.0406724873256411,0.0406724873256411
"Molina",0.817307239868621,0.182692760131379,0.0265260342565261,0.0265260342565261
"Mostazal",0.608411261753381,0.391588738246619,0.0468098673545106,0.0468098673545106
"Natales",0.981369955038346,0.0186300449616543,0.00661410673724634,0.00661410673724634
"Nueva Imperial",0.54847148704208,0.45152851295792,0.0556881872842918,0.0556881872842918
"Nunoa",0.789925702515864,0.210074297484136,0.0314403757858467,0.0314403757858467
"Osorno",0.662141264586835,0.337858735413165,0.0331808104931201,0.0331808104931201
"Ovalle",0.587519229317767,0.412480770682233,0.031659558941031,0.031659558941031
"Padre Hurtado",0.580639527323961,0.419360472676039,0.0416011718909146,0.0416011718909146
"Padre Las Casas",0.632667809085524,0.367332190914476,0.0481205026941165,0.0481205026941165
"Paillaco",0.821203732010989,0.178796267989011,0.0365762795507287,0.0365762795507287
"Paine",0.654139555468555,0.345860444531445,0.0407096682882715,0.0407096682882715
"Panguipulli",0.712683410847342,0.287316589152658,0.0506983246136386,0.0506983246136386
"Parral",0.711496933195972,0.288503066804028,0.0484129011708425,0.0484129011708425
"Pedro Aguirre Cerda",0.421189735576235,0.578810264423765,0.0378241119899644,0.0378241119899644
"Penaflor",0.537029286178142,0.462970713821858,0.0373750140448239,0.0373750140448239
"Penalolen",0.475350889418268,0.524649110581732,0.0375782792160045,0.0375782792160045
"Penco",0.650233784906057,0.349766215093943,0.0315489401740033,0.0315489401740033
"Pichilemu",0.857301105163545,0.142698894836456,0.0374525493082971,0.0374525493082971
"Pitrufquen",0.654167829691353,0.345832170308647,0.0515061940002724,0.0515061940002724
"Pozo Almonte",0.801464939455117,0.198535060544883,0.0344225478657695,0.0344225478657695
"Providencia",0.961789464891027,0.0382105351089727,0.00904798434980152,0.00904798434980153
"Pucon",0.626682471276773,0.373317528723227,0.0471406472713599,0.0471406472713599
"Pudahuel",0.482061472233395,0.517938527766605,0.0387085804223713,0.0387085804223713
"Puente Alto",0.570220046271863,0.429779953728138,0.0281978665305656,0.0281978665305656
"Puerto Montt",0.620504979709731,0.379495020290269,0.029562643305304,0.029562643305304
"Puerto Varas",0.860786776331041,0.139213223668959,0.0353013797380951,0.0353013797380951
"Punta Arenas",0.9359125957271,0.0640874042729001,0.0102005259207459,0.0102005259207459
"Quellon",0.775099518693773,0.224900481306227,0.0425850804746452,0.0425850804746452
"Quilicura",0.456046400375656,0.543953599624344,0.0406009075717651,0.0406009075717651
"Quillon",0.763463895883861,0.236536104116139,0.0467870114121424,0.0467870114121424
"Quillota",0.629507685703614,0.370492314296386,0.0410121847243237,0.0410121847243237
"Quilpue",0.575072359393404,0.424927640606596,0.0302384677648313,0.0302384677648313
"Quinta Normal",0.546759795538737,0.453240204461263,0.0301348755806528,0.0301348755806528
"Quirihue",0.867737513357935,0.132262486642065,0.0285752068242317,0.0285752068242317
"Rancagua",0.668843038281043,0.331156961718957,0.0287282982509844,0.0287282982509844
"Recoleta",0.346662322779193,0.653337677220807,0.0271928607939926,0.0271928607939926
"Renca",0.45038439657355,0.54961560342645,0.0375389276723403,0.0375389276723403
"Rengo",0.781981767013158,0.218018232986842,0.0321629627442677,0.0321629627442677
"Rio Bueno",0.777798805046139,0.222201194953861,0.0314036176517012,0.0314036176517012
"San Antonio",0.693406837101219,0.306593162898781,0.0428206301131809,0.0428206301131809
"San Bernardo",0.358906040788853,0.641093959211147,0.037957575175725,0.037957575175725
"San Carlos",0.785162286021778,0.214837713978222,0.034231068744416,0.034231068744416
"San Felipe",0.729039867499724,0.270960132500276,0.0287626802368897,0.0287626802368897
"San Fernando",0.713048840302321,0.286951159697679,0.037042413707492,0.037042413707492
"San Javier",0.723566660359076,0.276433339640924,0.0388976971260094,0.0388976971260094
"San Joaquin",0.341896934434786,0.658103065565214,0.0436894381774453,0.0436894381774453
"San Miguel",0.598770558726398,0.401229441273602,0.0294534142118867,0.0294534142118867
"San Pedro de la Paz",0.501390220522004,0.498609779477996,0.038208070273945,0.038208070273945
"San Ramon",0.302457237641594,0.697542762358406,0.0261075480068632,0.0261075480068632
"San Vicente",0.882656642741974,0.117343357258026,0.0392862111772445,0.0392862111772445
"Santa Cruz",0.815507418552328,0.184492581447672,0.0317613107502389,0.0317613107502389
"Santiago",0.631876336328444,0.368123663671556,0.0210780682415395,0.0210780682415395
"Talagante",0.605359914056404,0.394640085943596,0.0400217555801029,0.0400217555801029
"Talca",0.62722570446086,0.37277429553914,0.024614987459314,0.024614987459314
"Talcahuano",0.544391889486377,0.455608110513623,0.04161276521528,0.04161276521528
"Temuco",0.715778370081921,0.28422162991808,0.0241862498364173,0.0241862498364173
"Tocopilla",0.90352507330669,0.0964749266933105,0.0246649046790903,0.0246649046790903
"Tome",0.747877162470041,0.252122837529959,0.0262321641465848,0.0262321641465848
"Valdivia",0.648905143528585,0.351094856471415,0.0303827677299237,0.0303827677299237
"Vallenar",0.631633852514459,0.368366147485541,0.0363978992759558,0.0363978992759558
"Valparaiso",0.613456703124274,0.386543296875726,0.025155661205351,0.025155661205351
"Victoria",0.801736996928028,0.198263003071972,0.0380868991873694,0.0380868991873694
"Vilcun",0.749438594919339,0.250561405080661,0.058431747148256,0.058431747148256
"Villa Alemana",0.654647381003204,0.345352618996796,0.0255605170324597,0.0255605170324597
"Villarrica",0.538719322331156,0.461280677668844,0.0426566327645313,0.0426566327645314
"Vina del Mar",0.599716365323049,0.400283634676951,0.0233954474607871,0.0233954474607871
"Vitacura",0.862816125345415,0.137183874654585,0.0290860101819769,0.0290860101819769
"Yungay",0.95271751771337,0.0472824822866299,0.0158863656929942,0.0158863656929942
