"comuna","acceso_casas_controladoFALSE","acceso_casas_controladoTRUE","se.acceso_casas_controladoFALSE","se.acceso_casas_controladoTRUE"
"Concon",0.926909971579505,0.0730900284204947,0.0232274243971228,0.0232274243971228
"Constitucion",0.994992244217496,0.00500775578250414,0.00354758243838409,0.00354758243838409
"Copiapo",0.927471305903991,0.0725286940960095,0.0229421236556337,0.0229421236556337
"Coquimbo",0.989024532043835,0.0109754679561653,0.00683421993950976,0.00683421993950975
"Coronel",0.975728433962998,0.0242715660370018,0.0115266758035539,0.0115266758035539
"Curico",0.982458217670155,0.0175417823298453,0.00843073810280073,0.00843073810280073
"Donihue",1,0,0,0
"El Bosque",0.976917162337892,0.0230828376621084,0.013048422834865,0.013048422834865
"Estacion Central",0.996333647427443,0.00366635257255667,0.00284998841878424,0.00284998841878424
"Graneros",0.989496594069846,0.0105034059301538,0.00748640996234082,0.00748640996234082
"Hualpen",0.995038253248204,0.00496174675179561,0.00346452752134706,0.00346452752134707
"Huechuraba",0.715317532136678,0.284682467863322,0.0888550146970488,0.0888550146970488
"Illapel",0.990878950358854,0.00912104964114598,0.00647619962072821,0.00647619962072821
"Independencia",0.982606158673269,0.0173938413267314,0.00989766460613645,0.00989766460613645
"Iquique",0.96864683522336,0.0313531647766403,0.0104723827909437,0.0104723827909437
"La Cisterna",0.991431814238097,0.00856818576190271,0.00619112065279896,0.00619112065279896
"La Florida",0.949801540123866,0.050198459876134,0.0158859466186793,0.0158859466186793
"La Granja",0.985876573185708,0.014123426814292,0.0100956440047982,0.0100956440047982
"La Ligua",1,0,0,0
"La Pintana",0.97876483837036,0.0212351616296396,0.0126411493357592,0.0126411493357592
"La Reina",0.739061458235962,0.260938541764038,0.0425957466545504,0.0425957466545504
"La Serena",0.970894750125575,0.0291052498744248,0.0139376958258483,0.0139376958258483
"La Union",1,0,4.60405515645683e-18,0
"Lampa",0.955673672192688,0.0443263278073123,0.0182798178490637,0.0182798178490637
"Las Condes",0.979049048118637,0.0209509518813631,0.0115340819748178,0.0115340819748178
"Lautaro",1,0,0,0
"Lebu",1,0,0,0
"Limache",0.915586662622543,0.0844133373774571,0.0259470584600824,0.0259470584600824
"Linares",0.978309765894113,0.0216902341058872,0.0116868763818076,0.0116868763818076
"Lo Barnechea",0.783049842813252,0.216950157186748,0.0565901387403957,0.0565901387403957
"Lo Espejo",0.997206449057043,0.00279355094295687,0.00278858937876199,0.00278858937876199
"Lo Prado",0.991060218169176,0.00893978183082451,0.00888030364490902,0.00888030364490902
"Loncoche",1,0,0,0
"Los Andes",0.979186253084318,0.0208137469156824,0.00933696414527364,0.00933696414527364
"Los Angeles",0.96201577739865,0.0379842226013504,0.0192264683798349,0.0192264683798349
"Los Vilos",0.975953945212608,0.0240460547873917,0.0174490380606237,0.0174490380606237
"Lota",0.993435553070007,0.00656444692999251,0.00461400227913694,0.00461400227913694
"Machali",0.899968607268086,0.100031392731913,0.0295382596674963,0.0295382596674963
"Macul",0.982991472482489,0.0170085275175108,0.00700565886334997,0.00700565886334997
"Maipu",0.951561319523348,0.0484386804766519,0.0204740242123556,0.0204740242123556
"Maule",0.99458683329326,0.00541316670674007,0.00543385759163904,0.00543385759163904
"Melipilla",1,0,0,0
"Molina",0.9912528920687,0.00874710793130005,0.00497490961748535,0.00497490961748535
"Mostazal",0.988098280524037,0.0119017194759629,0.0119733602880324,0.0119733602880324
"Natales",0.984318089542777,0.0156819104572236,0.0109751199650617,0.0109751199650617
"Nueva Imperial",1,0,0,0
"Nunoa",0.979617741094793,0.0203822589052066,0.00697601481733553,0.00697601481733553
"Osorno",0.991320645600037,0.00867935439996308,0.00867782795125039,0.00867782795125039
"Ovalle",0.991437277184224,0.00856272281577565,0.00639205167941019,0.00639205167941019
"Padre Hurtado",1,0,0,0
"Padre Las Casas",0.997617008193836,0.00238299180616392,0.00241887684488793,0.00241887684488793
"Paillaco",1,0,0,0
"Paine",0.990984932625018,0.00901506737498245,0.00510889786328934,0.00510889786328934
"Panguipulli",1,0,0,0
"Parral",0.996767146215554,0.00323285378444623,0.00321650319192066,0.00321650319192066
"Pedro Aguirre Cerda",0.982347502477428,0.0176524975225724,0.00904779431719346,0.00904779431719346
"Penaflor",0.89738148457734,0.10261851542266,0.0287360407219158,0.0287360407219158
"Penalolen",0.902745574056122,0.0972544259438777,0.0307970656912121,0.0307970656912121
"Penco",0.980979521999644,0.0190204780003558,0.00754378308617719,0.00754378308617719
"Pichilemu",0.987149152511238,0.0128508474887619,0.0130343021274364,0.0130343021274364
"Pitrufquen",1,0,0,0
"Pozo Almonte",1,0,0,0
"Providencia",0.986318836518379,0.0136811634816207,0.00805969271760646,0.00805969271760646
"Pucon",0.966962834488707,0.0330371655112934,0.0277726523885147,0.0277726523885147
"Pudahuel",0.976390778091689,0.0236092219083108,0.0107689958792974,0.0107689958792974
"Puente Alto",0.869186063003364,0.130813936996636,0.0283283045747778,0.0283283045747778
"Puerto Montt",0.976060077715064,0.0239399222849358,0.0110696237413449,0.0110696237413449
"Puerto Varas",1,0,7.12982991794065e-18,0
"Punta Arenas",0.994216225109539,0.00578377489046076,0.00262696450873158,0.00262696450873158
"Quellon",0.994662453341723,0.00533754665827737,0.00533072813579024,0.00533072813579024
"Quilicura",0.952033147176375,0.047966852823625,0.0239601637182013,0.0239601637182013
"Quillon",1,0,0,0
"Quillota",0.976912428262218,0.023087571737782,0.0180847971224399,0.0180847971224399
"Quilpue",0.922105531130425,0.0778944688695754,0.0181384081858287,0.0181384081858287
"Quinta Normal",0.985646681391904,0.0143533186080955,0.00672421616748668,0.00672421616748668
"Quirihue",0.994167953414535,0.00583204658546472,0.00579514280401442,0.00579514280401442
"Rancagua",0.996513568705435,0.00348643129456524,0.00275475912675405,0.00275475912675405
"Recoleta",0.995218615937396,0.00478138406260365,0.00338904594352249,0.00338904594352249
"Renca",0.982298620022133,0.0177013799778666,0.0174475904108976,0.0174475904108976
"Rengo",0.99282804397854,0.00717195602146036,0.00505256675627643,0.00505256675627643
"Rio Bueno",0.989904521569565,0.0100954784304354,0.00973226630488952,0.00973226630488952
"San Antonio",0.963711179787501,0.0362888202124986,0.0210372882805829,0.0210372882805829
"San Bernardo",0.890062834623502,0.109937165376498,0.0340696488042019,0.0340696488042019
"San Carlos",0.989521413105062,0.0104785868949379,0.00800371924335207,0.00800371924335207
"San Felipe",0.984359522286101,0.0156404777138988,0.00877946206788115,0.00877946206788115
"San Fernando",0.978652335654573,0.0213476643454267,0.0090140178359252,0.0090140178359252
"San Javier",1,0,0,0
"San Joaquin",0.995252465049578,0.00474753495042183,0.00471293325092332,0.00471293325092333
"San Miguel",0.997034196514638,0.00296580348536231,0.00209129755696277,0.00209129755696277
"San Pedro de la Paz",0.895141026973735,0.104858973026265,0.0254807779934443,0.0254807779934443
"San Ramon",0.998361794092169,0.00163820590783126,0.0016504893752578,0.0016504893752578
"San Vicente",0.974099814949401,0.025900185050599,0.0148982755780077,0.0148982755780077
"Santa Cruz",0.995031629379352,0.0049683706206482,0.0049771180830431,0.00497711808304311
"Santiago",0.981875922707619,0.0181240772923813,0.00511356607030716,0.00511356607030716
"Talagante",0.960677313295482,0.0393226867045185,0.0179753816082308,0.0179753816082308
"Talca",0.985189501665121,0.0148104983348795,0.00503988141817921,0.00503988141817921
"Talcahuano",0.968975682019649,0.0310243179803512,0.0133574986556923,0.0133574986556923
"Temuco",0.970881030431313,0.0291189695686871,0.0113281414838092,0.0113281414838092
"Tocopilla",1,0,0,0
"Tome",0.989007181514714,0.0109928184852858,0.00646800226300978,0.00646800226300978
"Valdivia",0.981948268471026,0.0180517315289739,0.0135013925802163,0.0135013925802163
"Vallenar",0.984348355015441,0.0156516449845586,0.0155654350173045,0.0155654350173045
"Valparaiso",0.962156028951807,0.0378439710481928,0.0115082206171881,0.0115082206171881
"Victoria",0.973069318958437,0.026930681041563,0.0214933912013545,0.0214933912013545
"Vilcun",1,0,0,0
"Villa Alemana",0.934123240656886,0.0658767593431136,0.0161875556515254,0.0161875556515254
"Villarrica",1,0,0,0
"Vina del Mar",0.974066909021553,0.0259330909784474,0.00792411835403497,0.00792411835403497
"Vitacura",0.979962870460549,0.0200371295394508,0.0114632603916871,0.0114632603916871
"Yungay",0.990977276468017,0.00902272353198339,0.00636625832214447,0.00636625832214447
